# x_m, y_m, w_tr_right_m, w_tr_left_m
0.00000, 0.00000, 1.10000, 1.10000
0.07946, -0.06071, 1.10000, 1.10000
0.15893, -0.12142, 1.10000, 1.10000
0.23839, -0.18213, 1.10000, 1.10000
0.31785, -0.24284, 1.10000, 1.10000
0.39731, -0.30355, 1.10000, 1.10000
0.47678, -0.36426, 1.10000, 1.10000
0.55624, -0.42497, 1.10000, 1.10000
0.63570, -0.48568, 1.10000, 1.10000
0.71516, -0.54640, 1.10000, 1.10000
0.79462, -0.60711, 1.10000, 1.10000
0.87408, -0.66782, 1.10000, 1.10000
0.95354, -0.72853, 1.10000, 1.10000
1.03300, -0.78924, 1.10000, 1.10000
1.11246, -0.84996, 1.10000, 1.10000
1.19192, -0.91067, 1.10000, 1.10000
1.27139, -0.97138, 1.10000, 1.10000
1.35085, -1.03209, 1.10000, 1.10000
1.43031, -1.09280, 1.10000, 1.10000
1.50977, -1.15351, 1.10000, 1.10000
1.58924, -1.21422, 1.10000, 1.10000
1.66870, -1.27493, 1.10000, 1.10000
1.74817, -1.33563, 1.10000, 1.10000
1.82763, -1.39634, 1.10000, 1.10000
1.90710, -1.45705, 1.10000, 1.10000
1.98656, -1.51775, 1.10000, 1.10000
2.06603, -1.57846, 1.10000, 1.10000
2.14549, -1.63916, 1.10000, 1.10000
2.22496, -1.69987, 1.10000, 1.10000
2.30443, -1.76057, 1.10000, 1.10000
2.38389, -1.82128, 1.10000, 1.10000
2.46336, -1.88198, 1.10000, 1.10000
2.54283, -1.94268, 1.10000, 1.10000
2.62230, -2.00338, 1.10000, 1.10000
2.70177, -2.06409, 1.10000, 1.10000
2.78124, -2.12479, 1.10000, 1.10000
2.86071, -2.18549, 1.10000, 1.10000
2.94018, -2.24619, 1.10000, 1.10000
3.01965, -2.30689, 1.10000, 1.10000
3.09912, -2.36759, 1.10000, 1.10000
3.17859, -2.42829, 1.10000, 1.10000
3.25806, -2.48899, 1.10000, 1.10000
3.33753, -2.54968, 1.10000, 1.10000
3.41700, -2.61038, 1.10000, 1.10000
3.49648, -2.67108, 1.10000, 1.10000
3.57595, -2.73178, 1.10000, 1.10000
3.65542, -2.79247, 1.10000, 1.10000
3.73489, -2.85317, 1.10000, 1.10000
3.81437, -2.91386, 1.10000, 1.10000
3.89384, -2.97456, 1.10000, 1.10000
3.97332, -3.03525, 1.10000, 1.10000
4.05279, -3.09595, 1.10000, 1.10000
4.13226, -3.15664, 1.10000, 1.10000
4.21174, -3.21734, 1.10000, 1.10000
4.29121, -3.27803, 1.10000, 1.10000
4.37069, -3.33872, 1.10000, 1.10000
4.45017, -3.39942, 1.10000, 1.10000
4.52964, -3.46011, 1.10000, 1.10000
4.60912, -3.52080, 1.10000, 1.10000
4.68859, -3.58149, 1.10000, 1.10000
4.76807, -3.64218, 1.10000, 1.10000
4.84755, -3.70287, 1.10000, 1.10000
4.92703, -3.76356, 1.10000, 1.10000
5.00650, -3.82425, 1.10000, 1.10000
5.08598, -3.88494, 1.10000, 1.10000
5.16546, -3.94563, 1.10000, 1.10000
5.24494, -4.00632, 1.10000, 1.10000
5.32442, -4.06701, 1.10000, 1.10000
5.40389, -4.12770, 1.10000, 1.10000
5.48337, -4.18839, 1.10000, 1.10000
5.56285, -4.24908, 1.10000, 1.10000
5.64233, -4.30977, 1.10000, 1.10000
5.72181, -4.37045, 1.10000, 1.10000
5.80129, -4.43114, 1.10000, 1.10000
5.88077, -4.49183, 1.10000, 1.10000
5.96025, -4.55252, 1.10000, 1.10000
6.03973, -4.61320, 1.10000, 1.10000
6.11921, -4.67389, 1.10000, 1.10000
6.19869, -4.73458, 1.10000, 1.10000
6.27817, -4.79526, 1.10000, 1.10000
6.35765, -4.85595, 1.10000, 1.10000
6.43714, -4.91663, 1.10000, 1.10000
6.51662, -4.97732, 1.10000, 1.10000
6.59610, -5.03800, 1.10000, 1.10000
6.67558, -5.09869, 1.10000, 1.10000
6.75506, -5.15937, 1.10000, 1.10000
6.83454, -5.22006, 1.10000, 1.10000
6.91403, -5.28074, 1.10000, 1.10000
6.99351, -5.34143, 1.10000, 1.10000
7.07299, -5.40211, 1.10000, 1.10000
7.15247, -5.46280, 1.10000, 1.10000
7.23196, -5.52348, 1.10000, 1.10000
7.31144, -5.58416, 1.10000, 1.10000
7.39092, -5.64485, 1.10000, 1.10000
7.47040, -5.70553, 1.10000, 1.10000
7.54989, -5.76621, 1.10000, 1.10000
7.62937, -5.82690, 1.10000, 1.10000
7.70885, -5.88758, 1.10000, 1.10000
7.78834, -5.94826, 1.10000, 1.10000
7.86782, -6.00894, 1.10000, 1.10000
7.94730, -6.06963, 1.10000, 1.10000
8.02679, -6.13031, 1.10000, 1.10000
8.10627, -6.19099, 1.10000, 1.10000
8.18575, -6.25167, 1.10000, 1.10000
8.26524, -6.31236, 1.10000, 1.10000
8.34472, -6.37304, 1.10000, 1.10000
8.42420, -6.43372, 1.10000, 1.10000
8.50369, -6.49440, 1.10000, 1.10000
8.58317, -6.55509, 1.10000, 1.10000
8.66266, -6.61577, 1.10000, 1.10000
8.74214, -6.67645, 1.10000, 1.10000
8.82162, -6.73713, 1.10000, 1.10000
8.90111, -6.79781, 1.10000, 1.10000
8.98059, -6.85849, 1.10000, 1.10000
9.06008, -6.91918, 1.10000, 1.10000
9.13956, -6.97986, 1.10000, 1.10000
9.21905, -7.04054, 1.10000, 1.10000
9.29853, -7.10122, 1.10000, 1.10000
9.37801, -7.16190, 1.10000, 1.10000
9.45750, -7.22258, 1.10000, 1.10000
9.53698, -7.28327, 1.10000, 1.10000
9.61647, -7.34395, 1.10000, 1.10000
9.69595, -7.40463, 1.10000, 1.10000
9.77543, -7.46531, 1.10000, 1.10000
9.85492, -7.52599, 1.10000, 1.10000
9.93440, -7.58668, 1.10000, 1.10000
10.01389, -7.64736, 1.10000, 1.10000
10.09337, -7.70804, 1.10000, 1.10000
10.17285, -7.76872, 1.10000, 1.10000
10.25234, -7.82940, 1.10000, 1.10000
10.33182, -7.89008, 1.10000, 1.10000
10.41131, -7.95077, 1.10000, 1.10000
10.49079, -8.01145, 1.10000, 1.10000
10.57027, -8.07213, 1.10000, 1.10000
10.64976, -8.13281, 1.10000, 1.10000
10.72924, -8.19350, 1.10000, 1.10000
10.80872, -8.25418, 1.10000, 1.10000
10.88821, -8.31486, 1.10000, 1.10000
10.96769, -8.37554, 1.10000, 1.10000
11.04717, -8.43623, 1.10000, 1.10000
11.12666, -8.49691, 1.10000, 1.10000
11.20614, -8.55759, 1.10000, 1.10000
11.28562, -8.61828, 1.10000, 1.10000
11.36511, -8.67896, 1.10000, 1.10000
11.44459, -8.73964, 1.10000, 1.10000
11.52407, -8.80033, 1.10000, 1.10000
11.60356, -8.86101, 1.10000, 1.10000
11.68304, -8.92169, 1.10000, 1.10000
11.76252, -8.98238, 1.10000, 1.10000
11.84200, -9.04306, 1.10000, 1.10000
11.92148, -9.10375, 1.10000, 1.10000
12.00097, -9.16443, 1.10000, 1.10000
12.08045, -9.22512, 1.10000, 1.10000
12.15993, -9.28580, 1.10000, 1.10000
12.23941, -9.34649, 1.10000, 1.10000
12.31889, -9.40717, 1.10000, 1.10000
12.39837, -9.46786, 1.10000, 1.10000
12.47786, -9.52854, 1.10000, 1.10000
12.55734, -9.58923, 1.10000, 1.10000
12.63682, -9.64991, 1.10000, 1.10000
12.71630, -9.71060, 1.10000, 1.10000
12.79578, -9.77129, 1.10000, 1.10000
12.87526, -9.83197, 1.10000, 1.10000
12.95474, -9.89266, 1.10000, 1.10000
13.03422, -9.95335, 1.10000, 1.10000
13.11370, -10.01403, 1.10000, 1.10000
13.19318, -10.07472, 1.10000, 1.10000
13.27266, -10.13541, 1.10000, 1.10000
