# x_m, y_m, w_tr_right_m, w_tr_left_m
3.04660, 11.42396, 1.04600, 1.02033
2.99721, 11.33676, 1.03877, 1.02312
2.94797, 11.24950, 1.03104, 1.02774
2.89904, 11.16211, 1.02666, 1.03387
2.85056, 11.07453, 1.01877, 1.04121
2.80271, 10.98669, 1.01136, 1.04948
2.75562, 10.89853, 1.00459, 1.05835
2.70945, 10.80998, 1.00081, 1.06773
2.66435, 10.72098, 0.99539, 1.07278
2.62048, 10.63148, 0.99126, 1.08176
2.57781, 10.54145, 0.98854, 1.09008
2.53617, 10.45095, 0.98709, 1.09808
2.49540, 10.36004, 0.98673, 1.10580
2.45530, 10.26876, 0.98649, 1.11330
2.41571, 10.17716, 0.98715, 1.12061
2.37645, 10.08530, 0.98805, 1.12778
2.33734, 9.99322, 0.98900, 1.13486
2.29820, 9.90097, 0.99052, 1.14191
2.25886, 9.80861, 0.99117, 1.14895
2.21915, 9.71618, 0.99208, 1.15637
2.17887, 9.62374, 0.99249, 1.16557
2.13814, 9.53128, 0.99249, 1.17210
2.09802, 9.43859, 0.99376, 1.17662
2.05979, 9.34541, 0.99764, 1.17766
2.02473, 9.25148, 1.00555, 1.17617
1.99414, 9.15655, 1.02479, 1.17192
1.96929, 9.06035, 1.04942, 1.16505
1.95146, 8.96265, 1.09501, 1.15581
1.94123, 8.86350, 1.15484, 1.14991
1.93830, 8.76337, 1.22535, 1.12848
1.94231, 8.66275, 1.30490, 1.11191
1.95288, 8.56215, 1.36307, 1.08117
1.96966, 8.46205, 1.39717, 1.05186
1.99274, 8.36324, 1.42525, 1.03511
2.02328, 8.26712, 1.44737, 1.02271
2.06258, 8.17519, 1.43991, 1.01746
2.11196, 8.08896, 1.38046, 1.02919
2.17156, 8.00914, 1.29450, 1.03209
2.23909, 7.93483, 1.21957, 0.98818
2.31194, 7.86490, 1.16422, 0.93108
2.38774, 7.79836, 1.11558, 0.88637
2.46581, 7.73511, 1.08066, 0.83533
2.54630, 7.67551, 1.03548, 0.80436
2.62934, 7.61991, 1.01069, 0.78727
2.71509, 7.56865, 0.98186, 0.77593
2.80367, 7.52210, 0.96728, 0.76997
2.89493, 7.48061, 0.96233, 0.76768
2.98863, 7.44455, 0.96994, 0.76949
3.08450, 7.41428, 0.98580, 0.77651
3.18228, 7.39017, 1.00807, 0.78762
3.28171, 7.37259, 1.04562, 0.79274
3.38234, 7.36214, 1.09105, 0.80761
3.48309, 7.36033, 1.14879, 0.81563
3.58273, 7.36885, 1.21949, 0.82614
3.68005, 7.38932, 1.26847, 0.82485
3.77461, 7.42114, 1.29656, 0.82426
3.86679, 7.46133, 1.32336, 0.82446
3.95702, 7.50681, 1.31508, 0.82744
4.04527, 7.55565, 1.25784, 0.83701
4.13037, 7.60871, 1.21244, 0.84621
4.21104, 7.66727, 1.15090, 0.85414
4.28602, 7.73253, 1.05081, 0.85906
4.35531, 7.80424, 0.98865, 0.86117
4.41993, 7.88095, 0.96075, 0.86639
4.48095, 7.96113, 0.93236, 0.87240
4.53942, 8.04329, 0.91787, 0.87810
4.59587, 8.12655, 0.90355, 0.89169
4.65003, 8.21097, 0.88844, 0.89964
4.70154, 8.29672, 0.87292, 0.91309
4.75006, 8.38393, 0.85846, 0.91905
4.79524, 8.47274, 0.84677, 0.92531
4.83692, 8.56324, 0.83530, 0.92822
4.87582, 8.65511, 0.83195, 0.92904
4.91290, 8.74790, 0.83107, 0.92836
4.94918, 8.84120, 0.83377, 0.92702
4.98563, 8.93455, 0.83853, 0.92574
5.02324, 9.02754, 0.84919, 0.92600
5.06298, 9.11972, 0.86614, 0.93017
5.10552, 9.21064, 0.87945, 0.93904
5.15130, 9.29984, 0.89356, 0.95075
5.20075, 9.38686, 0.91047, 0.97171
5.25429, 9.47125, 0.93113, 1.00025
5.31234, 9.55254, 0.96038, 1.03485
5.37510, 9.63034, 0.98460, 1.08238
5.44261, 9.70428, 1.02366, 1.14720
5.51492, 9.77403, 1.03961, 1.22681
5.59206, 9.83922, 1.05766, 1.33396
5.67405, 9.89937, 1.09243, 1.46348
5.76057, 9.95278, 1.09683, 1.60298
5.85110, 9.99711, 1.10010, 1.71890
5.94514, 10.03001, 1.08922, 1.85512
6.04218, 10.04933, 1.08992, 1.78548
6.14145, 10.05576, 1.09017, 1.70622
6.24206, 10.05201, 1.09009, 1.64169
6.34307, 10.04085, 1.07658, 1.60163
6.44359, 10.02505, 1.06213, 1.57432
6.54295, 10.00662, 1.04915, 1.54764
6.64114, 9.98572, 1.03827, 1.51981
6.73825, 9.96223, 1.02969, 1.49232
6.83436, 9.93602, 1.02490, 1.46315
6.92957, 9.90696, 1.02368, 1.43617
7.02397, 9.87494, 1.02519, 1.41086
7.11754, 9.83997, 1.02745, 1.39011
7.21024, 9.80221, 1.02988, 1.37560
7.30198, 9.76182, 1.03285, 1.36886
7.39269, 9.71895, 1.03405, 1.36744
7.48230, 9.67376, 1.03458, 1.37212
7.57075, 9.62642, 1.03454, 1.38249
7.65795, 9.57707, 1.03385, 1.40015
7.74384, 9.52585, 1.03225, 1.42188
7.82827, 9.47258, 1.03093, 1.44798
7.91111, 9.41697, 1.02783, 1.47692
7.99220, 9.35874, 1.02506, 1.51796
8.07138, 9.29759, 1.02214, 1.55653
8.14852, 9.23323, 1.01868, 1.59030
8.22344, 9.16538, 1.01374, 1.63002
8.29598, 9.09373, 1.00678, 1.65887
8.36524, 9.01819, 0.99813, 1.67773
8.42957, 8.93882, 0.99515, 1.69161
8.48733, 8.85568, 0.98199, 1.67676
8.53685, 8.76885, 0.97968, 1.61907
8.57647, 8.67840, 0.97606, 1.53319
8.60481, 8.58444, 0.97073, 1.43668
8.62322, 8.48746, 0.96780, 1.35559
8.63459, 8.38818, 0.92854, 1.30943
8.64179, 8.28733, 0.86608, 1.27899
8.64773, 8.18561, 0.82094, 1.25760
8.65526, 8.08374, 0.78288, 1.24191
8.66670, 7.98256, 0.77152, 1.21234
8.68367, 7.88300, 0.78285, 1.19922
8.70780, 7.78601, 0.83391, 1.18939
8.74070, 7.69253, 0.91368, 1.20704
8.78382, 7.60344, 1.04834, 1.22846
8.83661, 7.51891, 1.08950, 1.22043
8.89725, 7.43863, 1.09940, 1.21522
8.96388, 7.36229, 1.10259, 1.15550
9.03467, 7.28958, 1.11103, 1.07135
9.10783, 7.22018, 1.11639, 0.93888
9.18271, 7.15379, 1.10420, 0.80320
9.25943, 7.09014, 1.08241, 0.70624
9.33814, 7.02891, 1.05998, 0.63408
9.41901, 6.96983, 1.03755, 0.57739
9.50219, 6.91261, 1.00313, 0.54948
9.58776, 6.85764, 0.98079, 0.52846
9.67571, 6.80643, 0.95867, 0.52425
9.76601, 6.76055, 0.94348, 0.52902
9.85864, 6.72160, 0.93762, 0.53849
9.95357, 6.69117, 0.94756, 0.54936
10.05079, 6.67085, 0.97318, 0.55994
10.15003, 6.66162, 1.01630, 0.56914
10.25043, 6.66290, 1.08819, 0.57737
10.35102, 6.67383, 1.14707, 0.58453
10.45082, 6.69353, 1.16477, 0.59311
10.54886, 6.72115, 1.16763, 0.60410
10.64426, 6.75586, 1.11780, 0.62280
10.73659, 6.79712, 1.05329, 0.64208
10.82562, 6.84448, 1.02222, 0.66692
10.91110, 6.89747, 0.98930, 0.70366
10.99280, 6.95566, 0.94026, 0.74754
11.07048, 7.01858, 0.88154, 0.77771
11.14397, 7.08577, 0.84370, 0.80001
11.21383, 7.15655, 0.80011, 0.83493
11.28094, 7.23018, 0.77644, 0.85339
11.34621, 7.30591, 0.76725, 0.87969
11.41054, 7.38297, 0.75527, 0.90447
11.47482, 7.46062, 0.75024, 0.93050
11.53996, 7.53810, 0.74900, 0.95853
11.60683, 7.61433, 0.75252, 0.99040
11.67626, 7.68781, 0.76038, 1.02477
11.74908, 7.75697, 0.77544, 1.07583
11.82614, 7.82028, 0.79047, 1.11212
11.90827, 7.87616, 0.79466, 1.10525
11.99602, 7.92331, 0.80412, 1.10285
12.08872, 7.96146, 0.80957, 1.11700
12.18530, 7.99070, 0.81859, 1.07700
12.28470, 8.01109, 0.81832, 1.03130
12.38584, 8.02269, 0.82123, 0.97060
12.48757, 8.02532, 0.82195, 0.90864
12.58866, 8.01866, 0.81984, 0.85315
12.68789, 8.00235, 0.82059, 0.81921
12.78404, 7.97608, 0.81379, 0.79583
12.87602, 7.93964, 0.81083, 0.78672
12.96389, 7.89400, 0.81069, 0.78857
13.04825, 7.84068, 0.79943, 0.80286
13.12968, 7.78122, 0.79844, 0.82494
13.20880, 7.71713, 0.80646, 0.85430
13.28619, 7.64994, 0.83091, 0.87436
13.36226, 7.58098, 0.87026, 0.87180
13.43576, 7.50998, 0.94122, 0.84207
13.50464, 7.43589, 0.99596, 0.81053
13.56686, 7.35767, 1.04262, 0.77737
13.62037, 7.27427, 1.02520, 0.75300
13.66316, 7.18467, 1.02147, 0.72671
13.69405, 7.08906, 1.01816, 0.70043
13.71319, 6.98943, 1.00797, 0.66661
13.72081, 6.88794, 1.01199, 0.63701
13.71717, 6.78673, 1.01540, 0.60477
13.70284, 6.68760, 1.01928, 0.58483
13.68062, 6.59032, 1.01958, 0.56834
13.65409, 6.49390, 1.02037, 0.55927
13.62685, 6.39732, 1.01465, 0.55204
13.60242, 6.29964, 0.99897, 0.54449
13.58302, 6.20070, 0.99048, 0.53840
13.56991, 6.10096, 0.99086, 0.52710
13.56430, 6.00087, 1.01097, 0.50913
13.56740, 5.90091, 1.04947, 0.49621
13.58017, 5.80158, 1.11955, 0.48582
13.60226, 5.70350, 1.17748, 0.48009
13.63288, 5.60735, 1.22145, 0.48318
13.67125, 5.51380, 1.22694, 0.49594
13.71657, 5.42353, 1.19481, 0.51968
13.76812, 5.33718, 1.15572, 0.55008
