# x_m, y_m, w_tr_right_m, w_tr_left_m
-14.54732, -4.39245, 1.20911, 1.19646
-14.55253, -4.29257, 1.20909, 1.18987
-14.55770, -4.19268, 1.20872, 1.17182
-14.56283, -4.09279, 1.20826, 1.15187
-14.56788, -3.99290, 1.20783, 1.13527
-14.57283, -3.89300, 1.20739, 1.12047
-14.57765, -3.79310, 1.20692, 1.10742
-14.58231, -3.69320, 1.20643, 1.09616
-14.58680, -3.59330, 1.20591, 1.08653
-14.59107, -3.49339, 1.20535, 1.07858
-14.59512, -3.39348, 1.20474, 1.07128
-14.59891, -3.29356, 1.20407, 1.06701
-14.60241, -3.19363, 1.20334, 1.06633
-14.60560, -3.09370, 1.20254, 1.06129
-14.60846, -2.99376, 1.20166, 1.05545
-14.61096, -2.89381, 1.20069, 1.05168
-14.61308, -2.79385, 1.19964, 1.04851
-14.61483, -2.69388, 1.19852, 1.04608
-14.61622, -2.59391, 1.19738, 1.04427
-14.61726, -2.49393, 1.19624, 1.04286
-14.61798, -2.39395, 1.19513, 1.04171
-14.61837, -2.29396, 1.19408, 1.04077
-14.61846, -2.19396, 1.19314, 1.03945
-14.61826, -2.09396, 1.19232, 1.03847
-14.61778, -1.99396, 1.19166, 1.03866
-14.61704, -1.89395, 1.19119, 1.03637
-14.61604, -1.79394, 1.19094, 1.03234
-14.61481, -1.69393, 1.19093, 1.02817
-14.61335, -1.59392, 1.19118, 1.02313
-14.61168, -1.49391, 1.19161, 1.01741
-14.60981, -1.39390, 1.19244, 1.01127
-14.60775, -1.29389, 1.19334, 1.00490
-14.60552, -1.19388, 1.19353, 0.99850
-14.60314, -1.09387, 1.19407, 0.99254
-14.60061, -0.99387, 1.19518, 0.98645
-14.59795, -0.89387, 1.19645, 0.98161
-14.59516, -0.79387, 1.19801, 0.98117
-14.59228, -0.69388, 1.19985, 0.97753
-14.58929, -0.59390, 1.20195, 0.97113
-14.58622, -0.49392, 1.20432, 0.96712
-14.58304, -0.39394, 1.20693, 0.96450
-14.57976, -0.29397, 1.20977, 0.96347
-14.57637, -0.19401, 1.21282, 0.96444
-14.57287, -0.09406, 1.21607, 0.96713
-14.56925, 0.00589, 1.21950, 0.97110
-14.56551, 0.10583, 1.22309, 0.97814
-14.56165, 0.20577, 1.22684, 0.98323
-14.55766, 0.30569, 1.23072, 0.98220
-14.55353, 0.40561, 1.23472, 0.98687
-14.54927, 0.50552, 1.23882, 0.99498
-14.54487, 0.60542, 1.24301, 1.00295
-14.54033, 0.70532, 1.24727, 1.01207
-14.53563, 0.80520, 1.25159, 1.02190
-14.53079, 0.90508, 1.25595, 1.03239
-14.52578, 1.00495, 1.26033, 1.04312
-14.52062, 1.10480, 1.26473, 1.05401
-14.51529, 1.20465, 1.26911, 1.06714
-14.50979, 1.30449, 1.27348, 1.07313
-14.50411, 1.40432, 1.27781, 1.07320
-14.49826, 1.50413, 1.28208, 1.08262
-14.49223, 1.60394, 1.28629, 1.09326
-14.48602, 1.70373, 1.29042, 1.10257
-14.47963, 1.80352, 1.29447, 1.11242
-14.47307, 1.90329, 1.29842, 1.12220
-14.46635, 2.00306, 1.30229, 1.13191
-14.45949, 2.10281, 1.30607, 1.14173
-14.45249, 2.20256, 1.30976, 1.15141
-14.44535, 2.30230, 1.31335, 1.16074
-14.43809, 2.40204, 1.31684, 1.17195
-14.43072, 2.50176, 1.32023, 1.17816
-14.42324, 2.60148, 1.32352, 1.17726
-14.41566, 2.70120, 1.32669, 1.18404
-14.40800, 2.80091, 1.32996, 1.19306
-14.40026, 2.90061, 1.33328, 1.20052
-14.39245, 3.00031, 1.33719, 1.20836
-14.38457, 3.10001, 1.34276, 1.21607
-14.37665, 3.19970, 1.34456, 1.22373
-14.36868, 3.29939, 1.34524, 1.23112
-14.36067, 3.39907, 1.35165, 1.23844
-14.35264, 3.49876, 1.35944, 1.24691
-14.34459, 3.59844, 1.36839, 1.24975
-14.33653, 3.69813, 1.37948, 1.24951
-14.32847, 3.79781, 1.39263, 1.25520
-14.32042, 3.89749, 1.40814, 1.26098
-14.31238, 3.99718, 1.42629, 1.26593
-14.30438, 4.09686, 1.44728, 1.27114
-14.29640, 4.19655, 1.47138, 1.27622
-14.28847, 4.29624, 1.49886, 1.28101
-14.28060, 4.39593, 1.52978, 1.28653
-14.27278, 4.49563, 1.56387, 1.29092
-14.26504, 4.59533, 1.60057, 1.29106
-14.25737, 4.69503, 1.63939, 1.29311
-14.24979, 4.79474, 1.67982, 1.29695
-14.24229, 4.89445, 1.72134, 1.30015
-14.23487, 4.99417, 1.76343, 1.30355
-14.22752, 5.09389, 1.80554, 1.30716
-14.22025, 5.19362, 1.84724, 1.31074
-14.21304, 5.29335, 1.88836, 1.31467
-14.20590, 5.39308, 1.92899, 1.31929
-14.19881, 5.49282, 1.96902, 1.32081
-14.19177, 5.59256, 2.00895, 1.32142
-14.18478, 5.69230, 2.04822, 1.32461
-14.17784, 5.79205, 2.08591, 1.32794
-14.17093, 5.89180, 2.12976, 1.33143
-14.16406, 5.99155, 2.15783, 1.33548
-14.15721, 6.09131, 2.16782, 1.33989
-14.15040, 6.19107, 2.22474, 1.34453
-14.14360, 6.29083, 2.27732, 1.35064
-14.13682, 6.39059, 2.30488, 1.35513
-14.13005, 6.49036, 2.33637, 1.35568
-14.12329, 6.59013, 2.36577, 1.35953
-14.11653, 6.68990, 2.38989, 1.36529
-14.10977, 6.78967, 2.41473, 1.37096
-14.10301, 6.88944, 2.44297, 1.37744
-14.09623, 6.98922, 2.45719, 1.38454
-14.08944, 7.08899, 2.45979, 1.39245
-14.08263, 7.18877, 2.45826, 1.40084
-14.07580, 7.28854, 2.45149, 1.40986
-14.06894, 7.38832, 2.43224, 1.42170
-14.06204, 7.48810, 2.41113, 1.42704
-14.05511, 7.58788, 2.39485, 1.42730
-14.04813, 7.68766, 2.37628, 1.43710
-14.04111, 7.78744, 2.35641, 1.44859
-14.03403, 7.88722, 2.33579, 1.45946
-14.02691, 7.98700, 2.31413, 1.47132
-14.01973, 8.08678, 2.29166, 1.48351
-14.01253, 8.18655, 2.26847, 1.49616
-14.00530, 8.28633, 2.24465, 1.50855
-13.99808, 8.38612, 2.22032, 1.52158
-13.99087, 8.48590, 2.19556, 1.53606
-13.98369, 8.58568, 2.17049, 1.53950
-13.97656, 8.68547, 2.14518, 1.54143
-13.96948, 8.78526, 2.11967, 1.55395
-13.96248, 8.88505, 2.09400, 1.56529
-13.95556, 8.98485, 2.06824, 1.57546
-13.94876, 9.08465, 2.04241, 1.58572
-13.94207, 9.18445, 2.01658, 1.59519
-13.93551, 9.28426, 1.99078, 1.60375
-13.92911, 9.38407, 1.96506, 1.61323
-13.92287, 9.48389, 1.93946, 1.61913
-13.91682, 9.58371, 1.91405, 1.61868
-13.91095, 9.68354, 1.88885, 1.62347
-13.90530, 9.78338, 1.86392, 1.63029
-13.89988, 9.88322, 1.83930, 1.63571
-13.89469, 9.98307, 1.81505, 1.64134
-13.88976, 10.08293, 1.79120, 1.64669
-13.88510, 10.18279, 1.76781, 1.65312
-13.88073, 10.28267, 1.74491, 1.65790
-13.87666, 10.38255, 1.72257, 1.65759
-13.87291, 10.48244, 1.70084, 1.66057
-13.86949, 10.58234, 1.67979, 1.66585
-13.86641, 10.68225, 1.65948, 1.67027
-13.86370, 10.78217, 1.63999, 1.67464
-13.86133, 10.88210, 1.62133, 1.67902
-13.85925, 10.98204, 1.60352, 1.68155
-13.85741, 11.08199, 1.58655, 1.68221
-13.85576, 11.18195, 1.57041, 1.68361
-13.85425, 11.28191, 1.55511, 1.68444
-13.85282, 11.38187, 1.54064, 1.68409
-13.85142, 11.48185, 1.52700, 1.68269
-13.85000, 11.58182, 1.51421, 1.67996
-13.84851, 11.68180, 1.50212, 1.67574
-13.84689, 11.78178, 1.49119, 1.66986
-13.84509, 11.88176, 1.48076, 1.66215
-13.84307, 11.98174, 1.46988, 1.65263
-13.84075, 12.08172, 1.46720, 1.64125
-13.83811, 12.18170, 1.46577, 1.62904
-13.83507, 12.28168, 1.45577, 1.61538
-13.83160, 12.38165, 1.44672, 1.59863
-13.82763, 12.48162, 1.43880, 1.59348
-13.82312, 12.58158, 1.43073, 1.59117
-13.81801, 12.68154, 1.42302, 1.57439
-13.81225, 12.78149, 1.41544, 1.55784
-13.80578, 12.88143, 1.40795, 1.54282
-13.79857, 12.98135, 1.40041, 1.52754
-13.79058, 13.08124, 1.39281, 1.51311
-13.78178, 13.18107, 1.38549, 1.49938
-13.77213, 13.28083, 1.37645, 1.48632
-13.76160, 13.38049, 1.36994, 1.47398
-13.75015, 13.48003, 1.37018, 1.46233
-13.73775, 13.57944, 1.36299, 1.45138
-13.72437, 13.67869, 1.35148, 1.44114
-13.70997, 13.77776, 1.34116, 1.43160
-13.69452, 13.87664, 1.32991, 1.42278
-13.67798, 13.97530, 1.31884, 1.41465
-13.66033, 14.07373, 1.30601, 1.40748
-13.64153, 14.17190, 1.29608, 1.40182
-13.62154, 14.26979, 1.29680, 1.39841
-13.60033, 14.36739, 1.28911, 1.39787
-13.57787, 14.46467, 1.27529, 1.40106
-13.55410, 14.56164, 1.26534, 1.40836
-13.52897, 14.65828, 1.25674, 1.41943
-13.50242, 14.75459, 1.24912, 1.43426
-13.47441, 14.85056, 1.24621, 1.44893
-13.44486, 14.94621, 1.24708, 1.46667
-13.41374, 15.04151, 1.24290, 1.49837
-13.38098, 15.13647, 1.23966, 1.51906
-13.34653, 15.23107, 1.24127, 1.52713
-13.31021, 15.32517, 1.24507, 1.53753
-13.27178, 15.41845, 1.24674, 1.54820
-13.23095, 15.51060, 1.24833, 1.55634
-13.18746, 15.60130, 1.25232, 1.57331
-13.14103, 15.69024, 1.25690, 1.60524
-13.09139, 15.77710, 1.25620, 1.62818
-13.03827, 15.86157, 1.25474, 1.64610
-12.98139, 15.94333, 1.25271, 1.67337
-12.92054, 16.02210, 1.24859, 1.71054
-12.85585, 16.09788, 1.25114, 1.73196
-12.78765, 16.17082, 1.24223, 1.73045
-12.71628, 16.24104, 1.22788, 1.71769
-12.64205, 16.30869, 1.22972, 1.70892
-12.56529, 16.37391, 1.21609, 1.70299
-12.48633, 16.43684, 1.19191, 1.70055
-12.40550, 16.49761, 1.17839, 1.70042
-12.32312, 16.55637, 1.17912, 1.69785
-12.23953, 16.61325, 1.16732, 1.69123
-12.15504, 16.66839, 1.15047, 1.67888
-12.06992, 16.72193, 1.14202, 1.65948
-11.98424, 16.77401, 1.13826, 1.63325
-11.89802, 16.82476, 1.14255, 1.60237
-11.81128, 16.87432, 1.14623, 1.56911
-11.72404, 16.92282, 1.14628, 1.53561
-11.63633, 16.97039, 1.15529, 1.50408
-11.54816, 17.01717, 1.16837, 1.47673
-11.45957, 17.06330, 1.18214, 1.45413
-11.37056, 17.10891, 1.19614, 1.43561
-11.28117, 17.15413, 1.20852, 1.42034
-11.19141, 17.19910, 1.21894, 1.40747
-11.10127, 17.24373, 1.22754, 1.39639
-11.01069, 17.28763, 1.23479, 1.38678
-10.91962, 17.33040, 1.24123, 1.37843
-10.82797, 17.37164, 1.24388, 1.37038
-10.73570, 17.41092, 1.24431, 1.36403
-10.64274, 17.44785, 1.24547, 1.35729
-10.54903, 17.48202, 1.24459, 1.34056
