s,left,right
0.0,1.1964568220468175,1.209112377668486
0.01,1.196588830684478,1.209132072873874
0.02,1.1965194518111801,1.2091462054761513
0.03,1.19625831983869,1.209155017179209
0.04,1.1958150691787757,1.2091587496869354
0.05,1.1951993342432035,1.2091576447032208
0.06,1.1944207494437402,1.209151943931955
0.07,1.1934889491921532,1.2091418890770271
0.08,1.1924135679002092,1.209127721842327
0.09,1.1912042399796756,1.2091096839317446
0.1,1.1898705998423191,1.2090880170491691
0.11,1.1884222818999062,1.2090629628984906
0.12,1.1868689205642045,1.2090347631835985
0.13,1.1852201502469808,1.2090036596083824
0.14,1.183485605360002,1.2089698938767321
0.15,1.1816749203150347,1.2089337076925373
0.16,1.1797977295238466,1.2088953427596874
0.17,1.1778636673982044,1.2088550407820722
0.18,1.1758823683498747,1.2088130434635813
0.19,1.173863466790625,1.2087695925081041
0.2,1.171816597132222,1.208724929619531
0.21,1.1697513937864326,1.2086792965017508
0.22,1.1676774911650236,1.2086329348586535
0.23,1.1656045236797625,1.2085860863941291
0.24,1.1635421257424157,1.2085389928120664
0.25,1.1614999317647505,1.208491895816356
0.26,1.159487576158534,1.2084450371108866
0.27,1.1575146930822466,1.2083986583930668
0.28,1.155588535939252,1.2083529404329871
0.29,1.1537081518187695,1.208307853988086
0.3,1.15187082096539,1.2082633245994316
0.31,1.1500738236237045,1.2082192778080936
0.32,1.148314440038304,1.2081756391551401
0.33,1.14658995045378,1.208132334181641
0.34,1.1448976351147229,1.2080892884286647
0.35,1.143234774265724,1.2080464274372804
0.36,1.1415986481513745,1.2080036767485565
0.37,1.139986537016265,1.2079609619035623
0.38,1.1383957211049869,1.2079182084433666
0.39,1.136823480662131,1.2078753419090387
0.4,1.1352670959322884,1.2078322878416472
0.41,1.1337239528799514,1.2077889744607753
0.42,1.1321931901450473,1.2077453743917104
0.43,1.130675388641689,1.2077014968011306
0.44,1.129171172183298,1.20765735194261
0.45,1.1276811645832967,1.2076129500697212
0.46,1.126205989655107,1.207568301436038
0.47,1.1247462712121519,1.2075234162951347
0.48,1.123302633067852,1.2074783049005842
0.49,1.1218756990356304,1.2074329775059596
0.5,1.120466092928909,1.2073874443648354
0.51,1.11907443856111,1.207341715730784
0.52,1.1177013597456553,1.2072958018573794
0.53,1.1163474802959674,1.2072497129981956
0.54,1.1150134238560543,1.2072034594030814
0.55,1.113699585947866,1.2071570463079009
0.56,1.1124056832017666,1.2071104640268844
0.57,1.11113130652727,1.2070637001109943
0.58,1.1098760468338889,1.2070167421111915
0.59,1.1086394950311373,1.206969577578438
0.6,1.1074212420285279,1.2069221940636956
0.61,1.1062208787355745,1.2068745791179258
0.62,1.1050379960617902,1.2068267202920904
0.63,1.1038721849166888,1.2067786051371512
0.64,1.1027230362097835,1.206730221204069
0.65,1.101590140850587,1.2066815560438064
0.66,1.1004730897486137,1.206632597207325
0.67,1.0993714738133766,1.2065833322455861
0.68,1.098284915340942,1.2065337489562937
0.69,1.0972134638183817,1.2064838384954713
0.7,1.0961574771448663,1.206433594443692
0.71,1.095117320057086,1.2063830104352828
0.72,1.0940933572917302,1.20633208010457
0.73,1.093085953585488,1.20628079708588
0.74,1.0920954736750486,1.206229155013539
0.75,1.091122282297102,1.206177147521873
0.76,1.0901667441883374,1.2061247682452092
0.77,1.089229224085444,1.2060720108178733
0.78,1.0883100867251116,1.2060188688741922
0.79,1.0874096968440294,1.2059653360484917
0.8,1.086528419178887,1.2059114059750984
0.81,1.0856666173165377,1.2058570722874284
0.82,1.0848241340184321,1.2058023282065526
0.83,1.0839994700499131,1.2057471658910641
0.84,1.0831909129680362,1.2056915773307564
0.85,1.0823967503298584,1.2056355545154227
0.86,1.081615269692435,1.2055790894348557
0.87,1.0808447586128231,1.2055221740788487
0.88,1.080083504648079,1.2054648004371946
0.89,1.0793297953552587,1.2054069604996873
0.9,1.0785819182914185,1.2053486462561191
0.91,1.0778381610136145,1.2052898496962836
0.92,1.0770968110789032,1.205230562809974
0.93,1.0763561560443413,1.205170777586983
0.94,1.0756144834669843,1.2051104860171042
0.95,1.0748704647895804,1.2050496801147357
0.96,1.0741271163624755,1.204988352172763
0.97,1.0733902027781477,1.2049264946602203
0.98,1.0726655320275462,1.2048641000489235
0.99,1.0719589121016193,1.2048011608106883
1.0,1.071276150991316,1.2047376694173313
1.01,1.0706230566875843,1.2046736183406677
