# x_m, y_m, w_tr_right_m, w_tr_left_m
0.68800, -0.90600, 0.55102, 0.70801
0.72012, -1.00070, 0.54313, 0.71134
0.75231, -1.09537, 0.53528, 0.71362
0.78464, -1.19000, 0.52714, 0.71498
0.81721, -1.28454, 0.51834, 0.71555
0.85006, -1.37899, 0.50852, 0.71548
0.88330, -1.47330, 0.49711, 0.71509
0.91697, -1.56746, 0.48293, 0.71505
0.95117, -1.66144, 0.47332, 0.71588
0.98597, -1.75521, 0.45701, 0.71772
1.02143, -1.84876, 0.44200, 0.72023
1.05764, -1.94204, 0.43027, 0.72247
1.09461, -2.03506, 0.42506, 0.72410
1.13229, -2.12784, 0.42287, 0.72425
1.17057, -2.22040, 0.42720, 0.72258
1.20939, -2.31277, 0.43645, 0.71888
1.24865, -2.40498, 0.44894, 0.71295
1.28828, -2.49705, 0.46154, 0.70501
1.32818, -2.58902, 0.47205, 0.69618
1.36828, -2.68090, 0.48542, 0.68755
1.40849, -2.77274, 0.49743, 0.67727
1.44873, -2.86454, 0.50615, 0.67165
1.48891, -2.95635, 0.51043, 0.66791
1.52896, -3.04818, 0.51334, 0.66619
1.56878, -3.14007, 0.51344, 0.66650
1.60829, -3.23203, 0.51106, 0.66858
1.64741, -3.32411, 0.50553, 0.67023
1.68606, -3.41632, 0.49866, 0.67217
1.72415, -3.50870, 0.49444, 0.67400
1.76160, -3.60127, 0.48765, 0.67504
1.79833, -3.69405, 0.48420, 0.67535
1.83424, -3.78707, 0.48547, 0.67572
1.86926, -3.88037, 0.48703, 0.67650
1.90331, -3.97397, 0.49052, 0.67829
1.93629, -4.06789, 0.49216, 0.68135
1.96814, -4.16216, 0.49040, 0.68498
1.99885, -4.25679, 0.48780, 0.68967
2.02849, -4.35175, 0.48071, 0.69630
2.05712, -4.44704, 0.47203, 0.70419
2.08482, -4.54264, 0.46646, 0.71419
2.11166, -4.63854, 0.45639, 0.72052
2.13771, -4.73471, 0.44889, 0.72443
2.16303, -4.83115, 0.44577, 0.72221
2.18769, -4.92784, 0.44536, 0.71445
2.21176, -5.02476, 0.45058, 0.70285
2.23532, -5.12190, 0.46151, 0.68869
2.25843, -5.21925, 0.46912, 0.66954
2.28115, -5.31678, 0.48460, 0.65282
2.30356, -5.41449, 0.50091, 0.63834
2.32573, -5.51236, 0.51224, 0.62257
2.34773, -5.61036, 0.52721, 0.61100
2.36962, -5.70850, 0.53243, 0.60405
2.39148, -5.80675, 0.53599, 0.60006
2.41337, -5.90510, 0.53294, 0.60142
2.43536, -6.00353, 0.52754, 0.60720
2.45752, -6.10203, 0.51459, 0.61503
2.47928, -6.20061, 0.50515, 0.62555
2.49865, -6.29935, 0.49875, 0.63090
2.51347, -6.39835, 0.49385, 0.62829
2.52157, -6.49769, 0.49256, 0.61608
2.52078, -6.59745, 0.49509, 0.59651
2.50971, -6.69722, 0.49877, 0.56976
2.48830, -6.79563, 0.50100, 0.54942
2.45668, -6.89125, 0.49900, 0.53978
2.41502, -6.98268, 0.49204, 0.54889
2.36420, -7.06935, 0.48272, 0.57701
2.30560, -7.15120, 0.47375, 0.62395
2.24057, -7.22818, 0.46300, 0.65616
2.17050, -7.30022, 0.46190, 0.65081
2.09649, -7.36741, 0.46777, 0.62201
2.01905, -7.43016, 0.47714, 0.58215
1.93856, -7.48894, 0.48510, 0.56099
1.85540, -7.54424, 0.49097, 0.54815
1.76995, -7.59652, 0.49279, 0.54697
1.68260, -7.64626, 0.48712, 0.54937
1.59374, -7.69393, 0.48156, 0.55320
1.50375, -7.74000, 0.47178, 0.55403
1.41302, -7.78495, 0.46490, 0.55297
1.32193, -7.82925, 0.46277, 0.54591
1.23086, -7.87336, 0.46366, 0.53602
1.13998, -7.91751, 0.46510, 0.52540
1.04928, -7.96165, 0.46516, 0.51671
0.95872, -8.00575, 0.45941, 0.51626
0.86829, -8.04977, 0.45264, 0.52250
0.77794, -8.09368, 0.43911, 0.53605
0.68767, -8.13744, 0.42704, 0.54869
0.59743, -8.18100, 0.41904, 0.56141
0.50720, -8.22433, 0.41699, 0.56733
0.41695, -8.26738, 0.42044, 0.57570
0.32666, -8.31013, 0.42829, 0.58247
0.23629, -8.35253, 0.43945, 0.58743
0.14583, -8.39455, 0.45297, 0.59042
0.05524, -8.43614, 0.46136, 0.59123
-0.03551, -8.47726, 0.47576, 0.58973
-0.12644, -8.51789, 0.48925, 0.58649
-0.21758, -8.55797, 0.50180, 0.58034
-0.30896, -8.59748, 0.50790, 0.57596
-0.40060, -8.63636, 0.51586, 0.57232
-0.49253, -8.67460, 0.51983, 0.57069
-0.58479, -8.71213, 0.52221, 0.57159
-0.67739, -8.74893, 0.52347, 0.57437
-0.77036, -8.78497, 0.52370, 0.57811
-0.86369, -8.82027, 0.52296, 0.58306
