# x_m, y_m, w_tr_right_m, w_tr_left_m
0.11886, -0.23372, 0.89979, 0.85593
0.02237, -0.25571, 0.92419, 0.87447
-0.07437, -0.27747, 0.93760, 0.89955
-0.17157, -0.29879, 0.95371, 0.91978
-0.26948, -0.31943, 0.96170, 0.95178
-0.36833, -0.33917, 0.96879, 0.98925
-0.46836, -0.35778, 0.97462, 1.03726
-0.56946, -0.37555, 0.98171, 1.09621
-0.67048, -0.39434, 0.99253, 1.14648
-0.77006, -0.41633, 1.01707, 1.18227
-0.86684, -0.44370, 1.05659, 1.19934
-0.95945, -0.47861, 1.11570, 1.19574
-1.04653, -0.52325, 1.19710, 1.18755
-1.12682, -0.57950, 1.31930, 1.17840
-1.20001, -0.64674, 1.41571, 1.17756
-1.26624, -0.72299, 1.48024, 1.17593
-1.32570, -0.80628, 1.51277, 1.17343
-1.37856, -0.89463, 1.52745, 1.17096
-1.42499, -0.98608, 1.53778, 1.15299
-1.46527, -1.07939, 1.54627, 1.14289
-1.49979, -1.17429, 1.54058, 1.12131
-1.52899, -1.27057, 1.51221, 1.09498
-1.55328, -1.36801, 1.48126, 1.07718
-1.57307, -1.46641, 1.45769, 1.03875
-1.58878, -1.56554, 1.44175, 0.99775
-1.60084, -1.66521, 1.43428, 0.95019
-1.60966, -1.76521, 1.43194, 0.91554
-1.61565, -1.86531, 1.43077, 0.86964
-1.61915, -1.96539, 1.42942, 0.82611
-1.62043, -2.06545, 1.42685, 0.78689
-1.61973, -2.16548, 1.42327, 0.75360
-1.61730, -2.26546, 1.41900, 0.72783
-1.61337, -2.36539, 1.41429, 0.70994
-1.60820, -2.46527, 1.40881, 0.69830
-1.60203, -2.56509, 1.40155, 0.69111
-1.59508, -2.66485, 1.39161, 0.68659
-1.58751, -2.76457, 1.38232, 0.68295
-1.57954, -2.86426, 1.36435, 0.67850
-1.57134, -2.96393, 1.33888, 0.66981
-1.56311, -3.06360, 1.31500, 0.66155
-1.55503, -3.16327, 1.27051, 0.64889
-1.54730, -3.26296, 1.21090, 0.63845
-1.54010, -3.36268, 1.13862, 0.62440
-1.53349, -3.46243, 1.06039, 0.61064
-1.52738, -3.56221, 0.95021, 0.60036
-1.52166, -3.66202, 0.86161, 0.58806
-1.51624, -3.76186, 0.74691, 0.57871
-1.51102, -3.86172, 0.65690, 0.56752
-1.50590, -3.96159, 0.54545, 0.55917
-1.50078, -4.06148, 0.46659, 0.55129
-1.49555, -4.16139, 0.39788, 0.54123
-1.49013, -4.26130, 0.35370, 0.53358
-1.48446, -4.36121, 0.32612, 0.52518
-1.47881, -4.46113, 0.31268, 0.51730
-1.47354, -4.56105, 0.30850, 0.51117
-1.46902, -4.66097, 0.31051, 0.50472
-1.46562, -4.76088, 0.31947, 0.50092
-1.46369, -4.86079, 0.34220, 0.49892
-1.46360, -4.96070, 0.38336, 0.49959
-1.46541, -5.06059, 0.46179, 0.50359
-1.46897, -5.16047, 0.55037, 0.50831
-1.47409, -5.26033, 0.63591, 0.51694
-1.48059, -5.36016, 0.71905, 0.52769
-1.48829, -5.45996, 0.80166, 0.53726
-1.49701, -5.55972, 0.88500, 0.55072
-1.50658, -5.65943, 0.97013, 0.56135
-1.51680, -5.75909, 1.05399, 0.57596
-1.52748, -5.85870, 1.14811, 0.58806
-1.53835, -5.95827, 1.19760, 0.60155
-1.54911, -6.05782, 1.22623, 0.61213
-1.55949, -6.15737, 1.23981, 0.62389
-1.56921, -6.25694, 1.24436, 0.63166
-1.57797, -6.35653, 1.24513, 0.63816
-1.58550, -6.45618, 1.24607, 0.64361
-1.59152, -6.55589, 1.24749, 0.64827
-1.59573, -6.65569, 1.24967, 0.65243
-1.59786, -6.75559, 1.25290, 0.65638
-1.59770, -6.85555, 1.25750, 0.66051
-1.59507, -6.95553, 1.26555, 0.66524
-1.58980, -7.05546, 1.27373, 0.66923
-1.58170, -7.15530, 1.28372, 0.67571
-1.57061, -7.25498, 1.30013, 0.68337
-1.55636, -7.35445, 1.31542, 0.69151
-1.53874, -7.45357, 1.33811, 0.69642
-1.51754, -7.55203, 1.36568, 0.70178
-1.49254, -7.64953, 1.39280, 0.70358
