# x_m, y_m, w_tr_right_m, w_tr_left_m
-0.02039, 0.06174, 0.62498, 0.68657
0.07962, 0.06395, 0.68306, 0.68801
0.17957, 0.06710, 0.66061, 0.68195
0.27944, 0.07214, 0.62969, 0.67259
0.37918, 0.07976, 0.61853, 0.66194
0.47884, 0.08874, 0.62876, 0.64134
0.57850, 0.09691, 0.64496, 0.62425
0.67825, 0.10211, 0.65151, 0.61462
0.77812, 0.10384, 0.65291, 0.61214
0.87812, 0.10417, 0.64911, 0.61214
0.97823, 0.10538, 0.64402, 0.61041
1.07842, 0.10945, 0.64520, 0.60423
1.17861, 0.11545, 0.65173, 0.59258
1.27866, 0.12079, 0.65861, 0.57732
1.37845, 0.12291, 0.65703, 0.56503
1.47784, 0.11922, 0.65056, 0.56083
1.57674, 0.10830, 0.64005, 0.57030
1.67511, 0.09093, 0.62664, 0.59184
1.77294, 0.06817, 0.61181, 0.62395
1.87020, 0.04106, 0.59825, 0.68363
1.96680, 0.01050, 0.59292, 0.73401
2.06167, -0.02439, 0.59240, 0.76235
2.15304, -0.06581, 0.59295, 0.79298
2.23911, -0.11603, 0.59251, 0.81787
2.31813, -0.17710, 0.58719, 0.80808
2.38889, -0.24865, 0.57592, 0.78446
2.45054, -0.32872, 0.56242, 0.72366
2.50224, -0.41529, 0.54612, 0.67770
2.54378, -0.50666, 0.52255, 0.63775
2.57627, -0.60165, 0.50240, 0.60103
2.60100, -0.69916, 0.48288, 0.57810
2.61925, -0.79812, 0.46941, 0.54769
2.63226, -0.89756, 0.46016, 0.53064
2.64114, -0.99722, 0.45495, 0.51944
2.64694, -1.09704, 0.45829, 0.51213
2.65070, -1.19697, 0.46988, 0.50682
2.65347, -1.29694, 0.48174, 0.50251
2.65600, -1.39692, 0.48636, 0.49783
2.65833, -1.49690, 0.48555, 0.49199
2.66039, -1.59688, 0.48305, 0.48658
2.66210, -1.69686, 0.48095, 0.48301
2.66340, -1.79685, 0.48093, 0.47812
2.66420, -1.89684, 0.48276, 0.47483
2.66446, -1.99684, 0.48566, 0.47355
2.66427, -2.09685, 0.48898, 0.47184
2.66380, -2.19686, 0.49215, 0.47166
2.66322, -2.29686, 0.49470, 0.47231
2.66267, -2.39687, 0.49528, 0.47279
2.66233, -2.49687, 0.49379, 0.47394
2.66237, -2.59687, 0.49134, 0.47465
2.66294, -2.69686, 0.48862, 0.47462
2.66420, -2.79684, 0.48615, 0.47424
2.66627, -2.89681, 0.48417, 0.47247
2.66902, -2.99677, 0.48393, 0.46928
2.67232, -3.09672, 0.48482, 0.46676
2.67603, -3.19666, 0.48668, 0.46116
2.67997, -3.29660, 0.48938, 0.45514
2.68387, -3.39654, 0.49262, 0.45062
2.68734, -3.49649, 0.49603, 0.44389
2.68997, -3.59645, 0.49918, 0.43735
2.69139, -3.69643, 0.50160, 0.43218
2.69133, -3.79644, 0.50293, 0.42911
2.69014, -3.89647, 0.50341, 0.42726
2.68836, -3.99649, 0.50342, 0.42606
2.68651, -4.09650, 0.50302, 0.42633
2.68512, -4.19647, 0.50284, 0.42629
2.68472, -4.29640, 0.50306, 0.42682
2.68561, -4.39627, 0.50399, 0.42714
2.68709, -4.49611, 0.50728, 0.42740
2.68815, -4.59595, 0.51010, 0.42835
2.68782, -4.69584, 0.51525, 0.42960
2.68510, -4.79580, 0.51557, 0.43060
2.67900, -4.89588, 0.50391, 0.43356
2.66854, -4.99611, 0.48580, 0.44326
2.65255, -5.09628, 0.48322, 0.45719
2.62881, -5.19457, 0.49195, 0.47984
2.59464, -5.28854, 0.50367, 0.52944
2.54745, -5.37578, 0.50443, 0.62874
2.48695, -5.45510, 0.50207, 0.74023
2.41602, -5.52699, 0.49637, 0.79542
2.33774, -5.59204, 0.49945, 0.78825
2.25431, -5.64987, 0.51564, 0.75543
2.16619, -5.69815, 0.53421, 0.71711
2.07361, -5.73430, 0.54810, 0.67151
1.97695, -5.75629, 0.55392, 0.63209
1.87724, -5.76458, 0.55643, 0.60928
1.77571, -5.76036, 0.55855, 0.60925
1.67362, -5.74483, 0.56754, 0.62697
1.57358, -5.71794, 0.57344, 0.65924
1.48097, -5.67729, 0.57849, 0.71939
1.40152, -5.62016, 0.57977, 0.85145
1.33880, -5.54554, 0.57331, 0.88878
1.28910, -5.45812, 0.55674, 0.85372
1.24719, -5.36385, 0.52987, 0.81241
1.20796, -5.26850, 0.51696, 0.77382
1.16964, -5.17450, 0.52364, 0.72797
1.13366, -5.08108, 0.54257, 0.68196
1.10157, -4.98736, 0.57932, 0.63057
1.07492, -4.89243, 0.60213, 0.60591
1.05494, -4.79555, 0.62182, 0.58642
1.04092, -4.69691, 0.63291, 0.57514
1.03138, -4.59703, 0.63599, 0.56627
1.02488, -4.49645, 0.63511, 0.55562
1.01995, -4.39571, 0.63412, 0.54317
