# x_m, y_m, w_tr_right_m, w_tr_left_m
1.09983, -4.30899, 0.55875, 0.48862
1.09080, -4.40835, 0.59049, 0.48941
1.08240, -4.50779, 0.58517, 0.49264
1.07527, -4.60739, 0.57708, 0.49637
1.07004, -4.70724, 0.57115, 0.49884
1.06734, -4.80742, 0.56771, 0.50355
1.06780, -4.90801, 0.56716, 0.51662
1.07222, -5.00897, 0.57150, 0.52875
1.08252, -5.10929, 0.57885, 0.54679
1.10115, -5.20754, 0.60025, 0.55936
1.13056, -5.30228, 0.63850, 0.56795
1.17162, -5.39277, 0.68815, 0.57535
1.22255, -5.47947, 0.73393, 0.58231
1.28129, -5.56293, 0.75473, 0.59361
1.34739, -5.64084, 0.74411, 0.60778
1.42334, -5.70552, 0.69688, 0.60791
1.51160, -5.74938, 0.62535, 0.60529
1.60923, -5.77442, 0.58624, 0.59929
1.70946, -5.78949, 0.56864, 0.56581
1.80920, -5.79843, 0.56551, 0.54392
1.90814, -5.80124, 0.56447, 0.53393
2.00691, -5.79879, 0.54451, 0.52669
2.10787, -5.79397, 0.51166, 0.53068
2.21222, -5.78800, 0.47004, 0.55829
2.31234, -5.77044, 0.43379, 0.56312
2.39735, -5.72647, 0.43631, 0.57602
2.46060, -5.65047, 0.44178, 0.59872
2.50396, -5.55508, 0.43281, 0.59952
2.53041, -5.45475, 0.43871, 0.53110
2.54608, -5.35617, 0.45119, 0.41020
2.56012, -5.25832, 0.46189, 0.35714
2.57814, -5.16025, 0.46345, 0.34085
2.59728, -5.06177, 0.45987, 0.33382
2.61366, -4.96284, 0.45173, 0.33087
2.62593, -4.86349, 0.44493, 0.32765
2.63465, -4.76383, 0.43897, 0.32387
2.64047, -4.66395, 0.43402, 0.32002
2.64402, -4.56397, 0.43038, 0.31692
2.64592, -4.46397, 0.42836, 0.31504
2.64669, -4.36398, 0.42814, 0.31409
2.64681, -4.26398, 0.42831, 0.31399
2.64680, -4.16398, 0.42912, 0.31390
2.64709, -4.06398, 0.42996, 0.31312
2.64774, -3.96398, 0.43053, 0.31126
2.64856, -3.86398, 0.43027, 0.30884
2.64937, -3.76398, 0.42944, 0.30650
2.64999, -3.66399, 0.42826, 0.30485
2.65024, -3.56399, 0.42667, 0.30393
2.65002, -3.46400, 0.42453, 0.30329
2.64943, -3.36401, 0.42249, 0.30252
2.64858, -3.26402, 0.41803, 0.30122
2.64760, -3.16402, 0.41308, 0.29901
2.64661, -3.06402, 0.40816, 0.29570
2.64570, -2.96401, 0.40371, 0.29151
2.64500, -2.86400, 0.40084, 0.28535
2.64440, -2.76397, 0.39771, 0.27950
2.64368, -2.66395, 0.39709, 0.27450
2.64263, -2.56394, 0.39974, 0.27155
2.64103, -2.46394, 0.40261, 0.27154
2.63864, -2.36397, 0.40830, 0.27367
2.63526, -2.26402, 0.41534, 0.27653
2.63065, -2.16412, 0.42287, 0.27876
2.62461, -2.06426, 0.43056, 0.27897
2.61702, -1.96444, 0.43906, 0.27613
2.60852, -1.86467, 0.44836, 0.27061
2.59997, -1.76491, 0.45485, 0.26239
2.59223, -1.66516, 0.46438, 0.25061
2.58618, -1.56539, 0.47310, 0.24201
2.58267, -1.46558, 0.47599, 0.23917
2.58247, -1.36573, 0.47418, 0.24592
2.58457, -1.26580, 0.46632, 0.26172
2.58653, -1.16580, 0.45883, 0.28248
2.58584, -1.06570, 0.44791, 0.30453
2.58017, -0.96554, 0.44759, 0.32592
2.56868, -0.86574, 0.45730, 0.34384
2.55131, -0.76694, 0.47439, 0.35952
2.52800, -0.66977, 0.50076, 0.37865
2.49871, -0.57478, 0.52053, 0.39105
2.46339, -0.48164, 0.52689, 0.41187
2.42202, -0.38962, 0.53550, 0.42701
2.37405, -0.29901, 0.54955, 0.44623
2.31564, -0.21687, 0.58932, 0.45759
2.24169, -0.15284, 0.64149, 0.45728
2.15310, -0.10726, 0.66692, 0.44875
2.05970, -0.06662, 0.66833, 0.43051
1.96909, -0.02103, 0.65784, 0.43612
1.88008, 0.02537, 0.62658, 0.45899
1.78988, 0.06587, 0.58934, 0.47847
1.69590, 0.09427, 0.57489, 0.48798
1.59797, 0.11047, 0.57232, 0.49302
1.49744, 0.11820, 0.57349, 0.49189
1.39571, 0.12127, 0.57504, 0.48730
1.29410, 0.12338, 0.57500, 0.48083
1.19321, 0.12612, 0.57266, 0.47297
1.09292, 0.12916, 0.57035, 0.46087
0.99307, 0.13208, 0.56662, 0.45369
0.89353, 0.13448, 0.56356, 0.45050
0.79415, 0.13595, 0.56173, 0.45093
0.69478, 0.13608, 0.56171, 0.45491
0.59528, 0.13450, 0.56403, 0.46094
0.49561, 0.13127, 0.56877, 0.46751
0.39580, 0.12683, 0.57553, 0.47348
0.29587, 0.12163, 0.58032, 0.47778
0.19588, 0.11611, 0.58771, 0.48038
0.09584, 0.11071, 0.59355, 0.48191
-0.00421, 0.10587, 0.59679, 0.48222
-0.10424, 0.10203, 0.59672, 0.48262
-0.20422, 0.09959, 0.59186, 0.48371
-0.30417, 0.09848, 0.58218, 0.48581
-0.40409, 0.09840, 0.57230, 0.48780
-0.50404, 0.09902, 0.56080, 0.49025
-0.60404, 0.10005, 0.54866, 0.49295
-0.70411, 0.10116, 0.54024, 0.49570
-0.80429, 0.10206, 0.53775, 0.49831
-0.90455, 0.10220, 0.53934, 0.50091
-1.00475, 0.10058, 0.54699, 0.50418
-1.10472, 0.09610, 0.55840, 0.50878
-1.20432, 0.08766, 0.57747, 0.51279
