# s_m,t_s,v_mps,beta_rad,omega_z_radps,n_m,xi_rad
0.0,0.000,7.98,0.00071,-0.08338,-0.30840,-0.07049
0.6,0.075,8.11,0.00077,-0.08058,-0.35096,-0.07261
1.2,0.148,8.24,0.00077,-0.07368,-0.39412,-0.07282
1.8,0.220,8.36,0.00073,-0.06480,-0.43692,-0.07155
2.4,0.291,8.48,0.00067,-0.05531,-0.47862,-0.06921
3.0,0.361,8.61,0.00060,-0.04604,-0.51869,-0.06609
3.6,0.430,8.73,0.00052,-0.03750,-0.55674,-0.06239
4.2,0.498,8.85,0.00044,-0.02993,-0.59248,-0.05822
4.8,0.565,8.96,0.00036,-0.02341,-0.62563,-0.05366
5.4,0.631,9.08,0.00029,-0.01793,-0.65602,-0.04882
6.0,0.697,9.19,0.00023,-0.01340,-0.68348,-0.04378
6.6,0.761,9.30,0.00018,-0.00972,-0.70793,-0.03863
7.2,0.825,9.42,0.00013,-0.00679,-0.72931,-0.03342
7.8,0.888,9.53,0.00009,-0.00449,-0.74762,-0.02822
8.4,0.950,9.63,0.00006,-0.00271,-0.76286,-0.02308
9.0,1.012,9.74,0.00004,-0.00138,-0.77508,-0.01805
9.6,1.073,9.85,0.00002,-0.00040,-0.78436,-0.01316
10.2,1.133,9.95,0.00000,0.00027,-0.79079,-0.00844
10.8,1.193,10.00,-0.00001,0.00073,-0.79447,-0.00393
11.4,1.252,10.00,-0.00002,0.00101,-0.79553,0.00036
12.0,1.312,10.00,-0.00002,0.00109,-0.79411,0.00439
12.6,1.372,10.00,-0.00002,0.00105,-0.79036,0.00816
13.2,1.431,10.00,-0.00002,0.00094,-0.78444,0.01164
13.8,1.491,10.00,-0.00002,0.00080,-0.77653,0.01483
14.4,1.551,10.00,-0.00002,0.00064,-0.76680,0.01770
15.0,1.611,10.00,-0.00001,0.00048,-0.75544,0.02026
15.6,1.671,10.00,-0.00001,0.00035,-0.74264,0.02248
16.2,1.730,10.00,-0.00001,0.00023,-0.72860,0.02438
16.8,1.790,10.00,-0.00000,0.00013,-0.71352,0.02593
17.4,1.850,10.00,-0.00000,0.00005,-0.69761,0.02714
18.0,1.910,10.00,-0.00000,-0.00001,-0.68106,0.02800
18.6,1.970,10.00,0.00000,-0.00006,-0.66410,0.02850
19.2,2.030,10.00,0.00000,-0.00010,-0.64694,0.02865
19.8,2.090,10.00,0.00000,-0.00013,-0.62978,0.02844
20.4,2.150,10.00,0.00000,-0.00016,-0.61286,0.02786
21.0,2.210,10.00,0.00000,-0.00020,-0.59638,0.02692
21.6,2.271,10.00,0.00000,-0.00023,-0.58058,0.02562
22.2,2.331,10.00,0.00000,-0.00025,-0.56565,0.02396
22.8,2.391,10.00,0.00001,-0.00027,-0.55183,0.02194
23.4,2.451,10.00,0.00001,-0.00027,-0.53934,0.01956
24.0,2.511,10.00,0.00001,-0.00024,-0.52837,0.01683
24.6,2.571,10.00,0.00000,-0.00017,-0.51916,0.01375
25.2,2.631,10.00,0.00000,-0.00005,-0.51189,0.01033
25.8,2.692,10.00,-0.00000,0.00014,-0.50678,0.00659
26.4,2.752,10.00,-0.00001,0.00043,-0.50402,0.00254
27.0,2.812,10.00,-0.00001,0.00082,-0.50379,-0.00181
27.6,2.872,10.00,-0.00002,0.00131,-0.50625,-0.00637
28.2,2.933,10.00,-0.00003,0.00192,-0.51151,-0.01104
28.8,2.993,10.00,-0.00005,0.00263,-0.51958,-0.01563
29.4,3.053,10.00,-0.00006,0.00339,-0.53033,-0.01989
30.0,3.113,10.00,-0.00008,0.00414,-0.54350,-0.02360
30.6,3.173,10.00,-0.00009,0.00477,-0.55868,-0.02653
31.2,3.234,10.00,-0.00010,0.00514,-0.57534,-0.02851
31.8,3.294,10.00,-0.00010,0.00504,-0.59287,-0.02946
32.4,3.354,10.00,-0.00010,0.00424,-0.61065,-0.02939
33.0,3.414,10.00,-0.00007,0.00243,-0.62806,-0.02838
33.6,3.474,10.00,-0.00002,-0.00072,-0.64459,-0.02657
34.2,3.533,10.00,0.00006,-0.00555,-0.65978,-0.02413
34.8,3.593,10.00,0.00018,-0.01239,-0.67330,-0.02125
35.4,3.653,10.00,0.00034,-0.02149,-0.68493,-0.01814
36.0,3.713,10.00,0.00055,-0.03294,-0.69456,-0.01502
36.6,3.772,10.00,0.00081,-0.04657,-0.70224,-0.01212
