# s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
0.0000000,2.4382616,11.8043470,2.4779447,0.0536773,6.2510202,-8.8678487
0.0998621,2.3787444,11.7277466,2.4846348,0.0839626,6.1077108,-7.9930879
0.1997241,2.3194810,11.6501748,2.4942318,0.1122142,5.9755936,-7.2847320
0.2995862,2.2605114,11.5712034,2.5065739,0.1376609,5.8525876,-6.7461562
0.3994482,2.2018758,11.4904043,2.5214490,0.1596650,5.7363239,-6.3772788
0.4993103,2.1436144,11.4073495,2.5386025,0.1777558,5.6242080,-6.1740687
0.5991723,2.0857671,11.3216108,2.5577457,0.1916513,5.5134930,-6.0070243
0.6990344,2.0327194,11.2396255,2.5770837,0.2052469,5.4035967,-5.8378726
0.7988964,1.9817861,11.1573554,2.5976488,0.2198177,5.2946099,-5.6865648
0.8987585,1.9318002,11.0726048,2.6200098,0.2347251,5.1862462,-5.5503408
0.9986205,1.8830900,10.9854426,2.6442126,0.2500972,5.0782490,-5.4281435
1.0984826,1.8359834,10.8959373,2.6703112,0.2660188,4.9703603,-5.3204246
1.1983446,1.7908086,10.8041574,2.6983656,0.2825317,4.8622901,-5.2290676
1.2982067,1.7478936,10.7101717,2.7284377,0.2996320,4.7536821,-4.8782326
1.3980687,1.7095700,10.6190035,2.7593931,0.3293578,4.6500745,-4.4853332
1.4979308,1.6744943,10.5273474,2.7933481,0.3625481,4.5527315,-4.1270752
1.5977928,1.6424982,10.4338702,2.8308063,0.3955630,4.4612877,-3.8074771
1.6976549,1.6140060,10.3385904,2.8717680,0.4279724,4.3752306,-3.5350600
1.7975169,1.5894416,10.2415269,2.9161974,0.4591377,4.2937869,-3.3229507
1.8973790,1.5692295,10.1426980,2.9640075,0.4882171,4.2157956,-3.1887051
1.9972410,1.5537937,10.0421226,3.0150453,0.5141957,4.1395738,-3.1848501
2.0971031,1.5436366,9.9409028,3.0684298,0.5319772,4.0620167,-3.2121997
2.1969652,1.5389942,9.8404936,3.1226217,0.5480947,3.9822640,-3.2404164
2.2968272,1.5399155,9.7395201,-3.1039062,0.5758627,3.9001586,-3.0092066
