s_m,t_s,v_mps,beta_rad,omega_z_radps,n_m,xi_rad
0.0,0.000,7.00,-0.00110,0.24008,-1.06125,0.02332
0.7,0.099,7.00,-0.00120,0.22205,-1.03522,0.05329
1.4,0.199,7.00,-0.00134,0.26746,-0.98860,0.08264
2.1,0.299,7.00,-0.00194,0.38308,-0.91887,0.11997
2.8,0.400,7.00,-0.00326,0.55519,-0.81797,0.17263
3.5,0.502,7.00,-0.00576,0.75949,-0.67336,0.24407
4.2,0.608,7.00,-0.00975,0.95324,-0.47125,0.32786
4.9,0.718,6.73,-0.02571,1.32253,-0.20553,0.42117
5.6,0.835,6.48,-0.03783,1.36360,0.11482,0.49266
6.3,0.951,6.24,-0.04574,1.38310,0.44630,0.51271
7.0,1.057,6.02,-0.05135,1.40848,0.72827,0.46968
7.7,1.150,5.82,-0.05600,1.44085,0.92806,0.37438
8.4,1.233,5.63,-0.06086,1.48523,1.04917,0.25375
9.1,1.315,5.45,-0.06798,1.56949,1.10868,0.14433
9.8,1.402,5.31,-0.07347,1.57035,1.12497,0.07596
10.5,1.499,5.22,-0.07478,1.57053,1.11927,0.05903
11.2,1.604,5.15,-0.07205,1.57060,1.11617,0.08009
11.9,1.709,5.10,-0.06594,1.57063,1.12972,0.10556
12.6,1.810,5.06,-0.05725,1.57065,1.15354,0.10353
13.3,1.904,5.01,-0.04658,1.57065,1.16922,0.05814
14.0,1.993,4.96,-0.03426,1.57064,1.16033,-0.02164
14.7,2.081,4.92,-0.02044,1.57062,1.11883,-0.11542
15.4,2.172,4.90,-0.00639,1.57055,1.03997,-0.21471
16.1,2.269,4.92,0.00343,1.57049,0.91575,-0.31246
16.8,2.376,4.98,0.00562,1.57050,0.73431,-0.38328
17.5,2.499,5.05,0.00514,1.54442,0.49841,-0.40127
18.2,2.634,5.22,0.00725,1.34606,0.23664,-0.38509
18.9,2.771,5.42,0.00536,1.27917,-0.01775,-0.33016
19.6,2.905,5.63,0.00390,0.86437,-0.23346,-0.26283
20.3,3.029,5.84,-0.00041,0.10229,-0.40260,-0.20901
21.0,3.141,6.02,-0.00313,-0.66748,-0.53197,-0.16813
21.7,3.241,6.17,0.00227,-1.21105,-0.61849,-0.10585
22.4,3.331,6.16,0.01701,-1.57000,-0.64767,-0.01342
23.1,3.421,6.13,0.03191,-1.57061,-0.61514,0.07555
23.8,3.518,6.09,0.04425,-1.57055,-0.53161,0.11953
24.5,3.624,6.03,0.05587,-1.57026,-0.42606,0.10132
25.2,3.734,6.16,0.01499,-0.57256,-0.34018,0.08170
25.9,3.845,6.35,0.00154,0.17759,-0.26845,0.10590
26.6,3.963,5.86,-0.01020,1.23019,-0.17190,0.17387
27.3,4.089,5.60,-0.02266,1.56356,-0.02607,0.26555
28.0,4.221,5.34,-0.03273,1.57057,0.17523,0.35707
28.7,4.356,5.06,-0.03674,1.57066,0.42296,0.42883
29.4,4.487,4.82,-0.03208,1.57069,0.68215,0.45113
30.1,4.605,4.66,-0.01871,1.57069,0.90535,0.40859
30.8,4.708,4.55,-0.00118,1.57066,1.07128,0.31644
31.5,4.800,4.56,0.01276,1.57061,1.18079,0.19646
32.2,4.885,4.63,0.01683,1.57059,1.23812,0.06802
32.9,4.970,4.71,0.01565,1.57061,1.24820,-0.04228
33.6,5.063,4.79,0.01341,1.57057,1.21971,-0.10328
34.3,5.165,4.86,0.01097,1.57049,1.16970,-0.12010
35.0,5.268,4.93,0.00869,1.56982,1.11160,-0.13423
35.7,5.367,5.01,0.00808,1.49543,1.03959,-0.18308
36.4,5.464,5.13,0.00843,1.37275,0.93384,-0.26626
37.1,5.567,5.28,0.00733,1.30843,0.77409,-0.35375
37.8,5.680,5.44,0.00506,1.28121,0.54787,-0.42123
38.5,5.804,5.62,0.00260,1.24801,0.25604,-0.45525
39.2,5.937,5.81,0.00019,1.21462,-0.07683,-0.44274
39.9,6.071,6.01,-0.00145,1.14538,-0.39711,-0.38360
40.6,6.197,6.20,-0.00177,1.00602,-0.65718,-0.29941
41.3,6.313,6.38,-0.00156,0.82556,-0.84449,-0.21218
42.0,6.422,6.55,-0.00136,0.63440,-0.96664,-0.13303
42.7,6.526,6.73,-0.00123,0.45975,-1.03582,-0.06653
43.4,6.626,6.89,-0.00112,0.32192,-1.06391,-0.01483
44.1,6.725,7.00,-0.00110,0.24008,-1.06125,0.02332
