# s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
0.0000000,-3.5433248,9.4556618,2.8159425,0.0445538,7.0000000,0.0000000
0.0999649,-3.5750207,9.3611078,2.8203440,0.0437266,7.0000000,0.0000000
0.1999297,-3.6063389,9.2663098,2.8246699,0.0429374,7.0000000,0.0000000
0.2998946,-3.6372791,9.1712896,2.8289227,0.0421849,7.0000000,0.0000000
0.3998594,-3.6678410,9.0760688,2.8331053,0.0414677,7.0000000,0.0000000
0.4998243,-3.6980245,8.9806691,2.8372201,0.0407847,7.0000000,0.0000000
0.5997892,-3.7278291,8.8851122,2.8412698,0.0401348,7.0000000,0.0000000
0.6997540,-3.7572475,8.7894432,2.8452565,0.0396768,7.0000000,0.0000000
0.7997189,-3.7862288,8.6938415,2.8492616,0.0405046,7.0000000,0.0000000
0.8996837,-3.8148258,8.5981140,2.8533491,0.0413189,7.0000000,0.0000000
0.9996486,-3.8430324,8.5022518,2.8575181,0.0421189,7.0000000,0.0000000
1.0996135,-3.8708428,8.4062459,2.8617673,0.0429040,7.0000000,0.0000000
1.1995783,-3.8982509,8.3100875,2.8660958,0.0436734,7.0000000,0.0000000
1.2995432,-3.9252508,8.2137674,2.8705024,0.0444263,7.0000000,0.0000000
1.3995080,-3.9518156,8.1173529,2.8749862,0.0455428,7.0000000,0.0000000
1.4994729,-3.9778772,8.0210505,2.8796576,0.0481006,7.0000000,0.0000000
1.5994378,-4.0034928,7.9245617,2.8845866,0.0506434,7.0000000,0.0000000
1.6994026,-4.0286374,7.8278779,2.8897722,0.0531698,7.0000000,0.0000000
1.7993675,-4.0532860,7.7309908,2.8952134,0.0556782,7.0000000,0.0000000
1.8993323,-4.0774137,7.6338918,2.9009088,0.0581669,7.0000000,0.0000000
1.9992972,-4.1009953,7.5365725,2.9068571,0.0606339,7.0000000,0.0000000
2.0992621,-4.1239633,7.4392079,2.9130499,0.0634344,7.0000000,0.0000000
2.1992269,-4.1462248,7.3420863,2.9195553,0.0671355,7.0000000,0.0000000
2.2991918,-4.1678584,7.2447166,2.9264346,0.0707964,7.0000000,0.0000000
2.3991566,-4.1888272,7.1470860,2.9336851,0.0744125,7.0000000,0.0000000
2.4991215,-4.2090944,7.0491818,2.9413037,0.0779791,7.0000000,0.0000000
2.5990864,-4.2286235,6.9509911,2.9492868,0.0814909,7.0000000,0.0000000
2.6990512,-4.2473775,6.8525012,2.9576307,0.0849426,7.0000000,0.0000000
2.7990161,-4.2652556,6.7540611,2.9663022,0.0885609,7.0000000,0.0000000
2.8989809,-4.2821461,6.6561473,2.9753051,0.0926383,7.0000000,0.0000000
2.9989458,-4.2981640,6.5578970,2.9847259,0.0966133,7.0000000,0.0000000
3.0989107,-4.3132668,6.4592921,2.9945573,0.1004765,7.0000000,0.0000000
3.1988755,-4.3274117,6.3603148,3.0047914,0.1042180,7.0000000,0.0000000
3.2988404,-4.3405561,6.2609469,3.0154197,0.1078275,7.0000000,0.0000000
3.3988052,-4.3526575,6.1611706,3.0264328,0.1112950,7.0000000,0.0000000
3.4987701,-4.3636216,6.0614631,3.0377577,0.1140942,7.0000000,0.0000000
3.5987350,-4.3733248,5.9629399,3.0491045,0.1151238,7.0000000,0.0000000
3.6986998,-4.3819303,5.8639960,3.0605874,0.1161023,7.0000000,0.0000000
3.7986647,-4.3894170,5.7646324,3.0722031,0.1170273,7.0000000,0.0000000
3.8986296,-4.3957642,5.6648502,3.0839480,0.1178966,7.0000000,0.0000000
3.9985944,-4.4009508,5.5646502,3.0958183,0.1187078,7.0000000,0.0000000
4.0985593,-4.4049559,5.4640336,3.1078102,0.1194588,7.0000000,0.0000000
4.1985241,-4.4077574,5.3630570,3.1199127,0.1200712,7.0000000,0.0000000
4.2984890,-4.4093165,5.2644724,3.1315910,0.1168129,7.0000000,0.0000000
4.3984539,-4.4097396,5.1654865,-3.1401941,0.1135222,7.0000000,0.0000000
4.4984187,-4.4090453,5.0660902,-3.1290747,0.1102086,7.0000000,0.0000000
4.5983836,-4.4072520,4.9662740,-3.1182384,0.1068811,7.0000000,0.0000000
4.6983484,-4.4043784,4.8660288,-3.1076869,0.1035480,7.0000000,0.0000000
4.7983133,-4.4004431,4.7653453,-3.0974213,0.1002172,7.0000000,0.0000000
4.8982782,-4.3954645,4.6642141,-3.0874423,0.0968961,7.0000000,-5.8158052
4.9982430,-4.3895732,4.5643602,-3.0779711,0.0916901,6.9164476,-7.6058529
5.0982079,-4.3828192,4.4652918,-3.0691763,0.0855168,6.8056309,-8.0322490
5.1981727,-4.3751937,4.3659106,-3.0609450,0.0797104,6.6866080,-8.4300953
5.2981376,-4.3667520,4.2662934,-3.0532526,0.0742299,6.5593673,-8.8010400
5.3981025,-4.3575494,4.1665166,-3.0460772,0.0690371,6.4238392,-9.1466426
5.4980673,-4.3476414,4.0666568,-3.0393992,0.0640962,6.2798905,-9.4683607
5.5980322,-4.3370832,3.9667906,-3.0332013,0.0593738,6.1273173,-9.7675385
5.6979970,-4.3259302,3.8669945,-3.0274683,0.0548380,5.9658358,-9.5369212
5.7979619,-4.3138406,3.7643423,-3.0209196,0.0731221,5.8038334,-9.0024817
5.8979268,-4.3010114,3.6620722,-3.0123229,0.0940114,5.6466467,-8.4647368
5.9978916,-4.2873030,3.5607343,-3.0015530,0.1170917,5.4947490,-7.9027740
6.0978565,-4.2725578,3.4607243,-2.9884287,0.1431982,5.3490436,-7.2928569
6.1978213,-4.2566185,3.3624376,-2.9727118,0.1733486,5.2109700,-6.6055414
6.2977862,-4.2393274,3.2662699,-2.9540962,0.2088159,5.0826729,-5.8013669
6.3977511,-4.2205272,3.1726166,-2.9321950,0.2512243,4.9672627,-5.3085870
6.4977159,-4.1977492,3.0722243,-2.9042374,0.2833861,4.8592545,-5.1370373
6.5976808,-4.1708086,2.9680043,-2.8726593,0.3038685,4.7524002,-4.9295576
6.6976456,-4.1415927,2.8683220,-2.8399099,0.3273392,4.6475523,-4.6765029
6.7976105,-4.1102433,2.7732447,-2.8058245,0.3543953,4.5458520,-4.3647531
6.8975754,-4.0769020,2.6828398,-2.7702102,0.3857719,4.4488343,-3.9760129
6.9975402,-4.0417104,2.5971744,-2.7328416,0.4223773,4.3585782,-3.6681844
7.0975051,-4.0005314,2.5074585,-2.6891490,0.4561923,4.2736196,-3.5689131
7.1974699,-3.9498503,2.4096286,-2.6376216,0.4803958,4.1893070,-3.3404180
7.2974348,-3.8975602,2.3202517,-2.5862931,0.5129341,4.1088251,-2.8969849
7.3973997,-3.8445170,2.2394234,-2.5346565,0.5583558,4.0377284,-2.0847375
7.4973645,-3.7915766,2.1672396,-2.4819546,0.6241333,3.9857809,-0.3267117
7.5973294,-3.7272485,2.0897620,-2.4133621,0.7378290,3.9775784,0.0000000
7.6972942,-3.6569976,2.0168209,-2.3362193,0.7584793,3.9775784,0.0000000
7.7972591,-3.5855306,1.9527648,-2.2693646,0.6059402,3.9775784,2.4133407
7.8972240,-3.5121001,1.8941087,-2.2240870,0.3875844,4.0377752,5.6809671
7.9971888,-3.4393918,1.8403880,-2.1908549,0.3420527,4.1760535,6.0347981
8.0971537,-3.3597775,1.7853812,-2.1610799,0.2720842,4.3180966,6.9267296
8.1971185,-3.2710150,1.7275787,-2.1362519,0.1987676,4.4755801,7.0000000
8.2970834,-3.1820236,1.6722686,-2.1183937,0.1515690,4.6292900,7.0000000
8.3970483,-3.1019492,1.6241911,-2.1047960,0.1414679,4.7780575,7.0000000
8.4970131,-3.0166476,1.5745466,-2.0909556,0.1402775,4.9223309,7.0000000
8.5969780,-2.9272974,1.5242278,-2.0763238,0.1461940,5.0624944,7.0000000
8.6969428,-2.8350769,1.4741271,-2.0603684,0.1590256,5.1988804,7.0000000
8.7969077,-2.7425811,1.4258598,-2.0428224,0.1759802,5.3317789,6.9972573
8.8968726,-2.6542959,1.3817616,-2.0251709,0.1813697,5.4613941,6.5903166
8.9968374,-2.5650027,1.3391400,-2.0070534,0.1844472,5.5807191,6.2554983
9.0968023,-2.4744220,1.2979200,-1.9886424,0.1851544,5.6916681,6.0019087
9.1967671,-2.3822743,1.2580266,-1.9701127,0.1835368,5.7961233,5.8340713
9.2967320,-2.2882801,1.2193847,-1.9516359,0.1797377,5.8958842,5.7520579
9.3966969,-2.1959909,1.1833748,-1.9340698,0.1750667,5.9926169,5.7131000
9.4966617,-2.1038199,1.1492351,-1.9170291,0.1719236,6.0871731,5.6295999
9.5966266,-2.0099986,1.1162876,-1.9000304,0.1701964,6.1789320,0.2664844
9.6965914,-1.9147168,1.0846380,-1.8829737,0.1697839,6.1832417,-5.5032676
9.7965563,-1.8181643,1.0543917,-1.8657629,0.1706213,6.0936206,-5.6602460
9.8965212,-1.7205309,1.0256545,-1.8483034,0.1726748,6.0000467,-5.7818695
9.9964860,-1.6227575,0.9987325,-1.8306015,0.1770071,5.9029308,-5.7954632
10.0964509,-1.5246946,0.9736160,-1.8123428,0.1841879,5.8039562,-5.6770434
10.1964157,-1.4264596,0.9503978,-1.7932685,0.1942483,5.7053394,-5.4708029
10.2963806,-1.3284277,0.9292442,-1.7731500,0.2075586,5.6086648,-5.1649873
10.3963455,-1.2309741,0.9103214,-1.7517316,0.2246550,5.5158396,-4.7404821
10.4963103,-1.1344737,0.8937956,-1.7287210,0.2462797,5.4292471,-4.7363974
10.5962752,-1.0319430,0.8788340,-1.7025685,0.2545972,5.3413273,-4.7302389
10.6962400,-0.9289995,0.8665774,-1.6759518,0.2591631,5.2520531,-4.8467481
10.7962049,-0.8281701,0.8572814,-1.6494049,0.2655187,5.1589779,-4.9307342
10.8961698,-0.7296780,0.8508333,-1.6227987,0.2740108,5.0625342,-4.9771656
10.9961346,-0.6337466,0.8471204,-1.5959857,0.2850851,4.9632821,-4.8441882
11.0960995,-0.5354156,0.8460450,-1.5672009,0.3023710,4.8647376,-4.5719662
11.1960643,-0.4305905,0.8481279,-1.5342356,0.3264840,4.7698637,-4.3487270
11.2960292,-0.3294540,0.8535426,-1.4999890,0.3496580,4.6778371,-4.1908173
11.3959941,-0.2317842,0.8621900,-1.4646398,0.3710832,4.5874057,-4.1159108
11.4959589,-0.1373597,0.8739707,-1.4284121,0.3898884,4.4968209,-4.0944206
11.5959238,-0.0365093,0.8905032,-1.3881846,0.3932364,4.4048612,-4.3410426
11.6958887,0.0645901,0.9113018,-1.3476218,0.3932695,4.3052176,-4.6854599
11.7958535,0.1611619,0.9352200,-1.3083301,0.3973362,4.1950132,-4.9868712
11.8958184,0.2528523,0.9617402,-1.2700069,0.4067128,4.0744462,-4.9094867
11.9957832,0.3489572,0.9937917,-1.2269080,0.4539509,3.9521589,-4.5243479
12.0957481,0.4438023,1.0303538,-1.1778900,0.5080291,3.8360146,-4.5232378
12.1957130,0.5331570,1.0700836,-1.1264097,0.5405841,3.7162721,-3.7727634
12.2956778,0.6173238,1.1128531,-1.0740791,0.6301310,3.6133628,-0.3346574
12.3956427,0.6960063,1.1589925,-1.0026890,0.8980606,3.6040925,0.0000000
12.4956075,0.7748861,1.2144574,-0.9128411,0.9238243,3.6040925,0.0000000
12.5955724,0.8566910,1.2840847,-0.8214177,0.7609246,3.6040925,2.1159822
12.6955373,0.9259300,1.3530152,-0.7581839,0.5063062,3.6623122,5.2091528
12.7955021,0.9877546,1.4209840,-0.7207460,0.3260280,3.8018410,7.0000000
12.8954670,1.0518172,1.4960068,-0.6946244,0.2126174,3.9816458,7.0000000
12.9954318,1.1176026,1.5765238,-0.6768000,0.1351450,4.1536744,7.0000000
13.0953967,1.1845958,1.6609750,-0.6654924,0.0772485,4.3188563,7.0000000
13.1953616,1.2500452,1.7449229,-0.6594967,0.0494994,4.4779490,7.0000000
13.2953264,1.3110670,1.8240773,-0.6537486,0.0655666,4.6315802,7.0000000
13.3952913,1.3718624,1.9040199,-0.6463318,0.0822736,4.7802765,7.0000000
13.4952561,1.4320499,1.9845378,-0.6371731,0.1001958,4.9244849,7.0000000
13.5952210,1.4912481,2.0654181,-0.6261590,0.1199576,5.0645888,7.0000000
13.6951859,1.5490755,2.1464482,-0.6131325,0.1422771,5.2009199,-2.0532680
13.7951507,1.6057054,2.2282402,-0.5973206,0.1865635,5.1613039,-5.4640464
13.8951156,1.6609161,2.3112607,-0.5752564,0.2558440,5.0543677,-4.0459505
13.9950804,1.7136922,2.3951657,-0.5465956,0.3215352,4.9737036,-2.8215345
14.0950453,1.7637728,2.4807066,-0.5117600,0.3796893,4.9166674,-1.8480948
14.1950102,1.8108973,2.5686350,-0.4714328,0.4264766,4.8789476,-1.1883162
14.2949750,1.8548048,2.6597024,-0.4265430,0.4587724,4.8545391,-0.9152350
14.3949399,1.8929348,2.7488942,-0.3812049,0.4740408,4.8356558,-0.7028323
14.4949047,1.9265964,2.8387996,-0.3351109,0.4860450,4.8211047,-0.4897480
14.5948696,1.9565738,2.9320231,-0.2869487,0.4973076,4.8109391,-0.2901016
14.6948345,1.9824367,3.0284905,-0.2367653,0.5072045,4.8049074,-0.1205344
14.7947993,2.0037547,3.1281281,-0.1846562,0.5150868,4.8023991,0.0000000
14.8947642,2.0200976,3.2308619,-0.1307690,0.5203131,4.8023991,0.0000000
14.9947290,2.0307039,3.3322381,-0.0779925,0.4993482,4.8023991,0.4835144
15.0946939,2.0359815,3.4281531,-0.0328663,0.4416557,4.8124532,1.7713847
15.1946588,2.0371662,3.5259592,0.0078274,0.3917234,4.8491090,2.7890716
15.2946236,2.0345267,3.6253300,0.0445713,0.3486869,4.9062691,3.6065918
15.3945885,2.0283316,3.7259396,0.0778035,0.3116603,4.9792109,4.2731495
15.4945533,2.0188494,3.8274618,0.1079155,0.2798067,5.0642740,4.8238335
15.5945182,2.0063488,3.9295703,0.1352525,0.2523710,5.1586140,5.2840807
15.6944831,1.9912325,4.0311074,0.1599105,0.2276513,5.2600136,5.7014033
15.7944479,1.9742017,4.1298063,0.1813994,0.2017203,5.3672733,6.1889164
15.8944128,1.9551370,4.2283475,0.2004070,0.1772589,5.4813294,6.6742600
15.9943776,1.9343075,4.3265964,0.2170334,0.1540140,5.6017278,7.0000000
16.0943425,1.9119819,4.4244182,0.2313616,0.1317115,5.7252827,7.0000000
16.1943074,1.8884291,4.5216782,0.2434553,0.1100587,5.8462270,7.0000000
16.2942722,1.8639180,4.6182417,0.2533577,0.0887419,5.9647195,7.0000000
16.3942371,1.8387175,4.7139740,0.2610901,0.0674214,6.0809034,7.0000000
