s_m,t_s,v_mps,beta_rad,omega_z_radps,n_m,xi_rad
0.0,0.000,6.32,0.00114,-0.79490,0.92195,-0.00537
0.9,0.141,6.56,0.00107,-0.36247,0.89119,-0.06249
1.8,0.276,6.80,0.00078,-0.03913,0.82831,-0.07684
2.7,0.406,7.02,0.00001,0.12907,0.76375,-0.06578
3.6,0.532,7.24,-0.00075,0.20802,0.71450,-0.04188
4.5,0.655,7.46,-0.00131,0.23230,0.68862,-0.01304
5.4,0.774,7.66,-0.00163,0.22651,0.68877,0.01649
6.3,0.891,7.86,-0.00175,0.20541,0.71487,0.04471
7.2,1.004,8.06,-0.00171,0.17569,0.76551,0.07054
8.1,1.116,8.25,-0.00151,0.13698,0.83822,0.09270
9.0,1.225,8.44,-0.00107,0.08245,0.92897,0.10902
9.9,1.331,8.63,-0.00021,-0.00074,1.03120,0.11610
10.8,1.436,8.81,0.00134,-0.12992,1.13469,0.10909
11.7,1.538,8.99,0.00411,-0.32209,1.22474,0.08214
12.6,1.637,9.15,0.00893,-0.57358,1.28247,0.03014
13.5,1.734,9.31,0.01568,-0.79752,1.28816,-0.04461
14.4,1.831,9.26,0.02956,-1.07190,1.22567,-0.14323
15.3,1.930,9.11,0.04991,-1.28671,1.07971,-0.26144
16.2,2.033,9.08,0.05885,-1.02554,0.83581,-0.37334
17.1,2.141,9.00,0.05233,-0.89524,0.49105,-0.45239
18.0,2.255,8.73,0.05459,-1.08777,0.07481,-0.49831
18.9,2.368,8.52,0.06505,-1.22332,-0.34258,-0.49540
19.8,2.470,8.47,0.07065,-1.11725,-0.67765,-0.42144
20.7,2.559,8.44,0.07011,-1.09877,-0.89397,-0.29570
21.6,2.641,8.40,0.06856,-1.10052,-1.00425,-0.16287
22.5,2.725,8.36,0.06695,-1.10622,-1.03075,-0.05604
23.4,2.813,8.33,0.06541,-1.11226,-0.99799,0.00190
24.3,2.909,8.29,0.06391,-1.11722,-0.94007,0.00670
25.2,3.010,8.25,0.06236,-1.12081,-0.89478,-0.02899
26.1,3.112,8.21,0.06068,-1.12363,-0.89015,-0.08421
27.0,3.214,8.17,0.05887,-1.12573,-0.93026,-0.12607
27.9,3.311,8.13,0.05697,-1.12733,-0.98576,-0.11974
28.8,3.402,8.10,0.05507,-1.12872,-1.01184,-0.05317
29.7,3.488,8.07,0.05308,-1.12740,-0.97513,0.05529
30.6,3.576,8.05,0.05037,-1.11394,-0.85743,0.16889
31.5,3.674,8.04,0.04395,-1.04769,-0.65432,0.25233
32.4,3.780,8.17,0.02065,-0.79441,-0.38621,0.30899
33.3,3.892,8.34,0.01806,-0.95313,-0.08192,0.31754
34.2,4.006,8.50,0.01925,-0.92516,0.22523,0.29580
35.1,4.119,8.66,0.01998,-0.91631,0.50923,0.25923
36.0,4.229,8.82,0.02070,-0.90641,0.75509,0.21335
36.9,4.337,8.97,0.02137,-0.89736,0.95342,0.16031
37.8,4.441,9.12,0.02200,-0.88896,1.09718,0.10042
38.7,4.542,9.26,0.02259,-0.88118,1.18071,0.03358
39.6,4.640,9.40,0.02120,-0.81621,1.20001,-0.03613
40.5,4.736,9.55,0.01790,-0.71692,1.15412,-0.10495
41.4,4.829,9.69,0.01406,-0.59879,1.04505,-0.16955
42.3,4.922,9.84,0.01061,-0.47510,0.87745,-0.22585
43.2,5.015,10.00,0.00780,-0.35755,0.65922,-0.26968
44.1,5.108,10.00,0.00674,-0.28930,0.40194,-0.30073
45.0,5.203,10.00,0.00487,-0.20372,0.12013,-0.31343
45.9,5.297,10.00,0.00352,-0.15151,-0.16380,-0.30237
46.8,5.389,10.00,0.00275,-0.12209,-0.41814,-0.25815
47.7,5.475,10.00,0.00223,-0.09901,-0.60291,-0.16603
48.6,5.556,10.00,0.00154,-0.06160,-0.67919,-0.01712
49.5,5.634,10.00,0.00035,0.00644,-0.62186,0.16021
50.4,5.720,10.00,-0.00172,0.11508,-0.42329,0.28951
51.3,5.814,10.00,-0.00466,0.25555,-0.14263,0.29455
52.2,5.907,10.00,-0.00782,0.38935,0.07527,0.17426
53.1,5.995,9.92,-0.01133,0.50123,0.14757,0.01083
54.0,6.087,9.47,-0.02108,0.74197,0.09513,-0.07292
54.9,6.184,9.02,-0.02743,0.78806,0.02535,-0.00601
55.8,6.287,8.56,-0.02983,0.79773,0.06628,0.16088
56.7,6.398,8.07,-0.02908,0.79201,0.25278,0.28372
57.6,6.509,7.57,-0.02688,0.81862,0.46771,0.23289
58.5,6.613,7.01,-0.01513,0.42997,0.54983,0.00818
59.4,6.727,6.39,-0.00189,-0.06699,0.44116,-0.26621
60.3,6.883,5.57,0.00242,-0.83970,0.08756,-0.47226
61.2,7.066,5.01,0.00883,-1.47537,-0.37287,-0.47245
62.1,7.203,4.67,0.00839,-1.57080,-0.59088,-0.15131
63.0,7.324,4.33,0.00182,-1.57080,-0.55288,0.26179
63.9,7.504,3.77,-0.01767,-1.57080,-0.27655,0.46929
64.8,7.747,4.13,-0.03397,-1.57080,0.13179,0.43703
65.7,7.984,4.44,-0.02406,-1.57080,0.46352,0.27131
66.6,8.204,4.66,-0.01767,-1.57080,0.61946,0.08544
67.5,8.415,4.98,-0.01208,-1.32948,0.63423,-0.01384
68.4,8.620,5.29,-0.00761,-1.29493,0.59479,-0.03086
69.3,8.815,5.59,-0.00339,-1.24004,0.57524,0.00920
70.2,9.000,5.87,-0.00002,-1.19691,0.61172,0.05931
71.1,9.173,6.13,0.00278,-1.15985,0.68635,0.07075
72.0,9.333,6.37,0.00371,-1.03898,0.74749,0.03648
72.9,9.481,6.61,0.00360,-0.87776,0.76081,-0.01932
73.8,9.620,6.84,0.00325,-0.70481,0.72112,-0.07309
74.7,9.753,7.06,0.00287,-0.54078,0.63671,-0.11485
75.6,9.882,7.28,0.00248,-0.39776,0.52178,-0.13694
76.5,10.008,7.50,0.00206,-0.28076,0.39853,-0.12888
77.4,10.131,7.71,0.00162,-0.18980,0.30020,-0.07959
78.3,10.250,7.92,0.00119,-0.12137,0.26698,0.01064
79.2,10.366,8.12,0.00079,-0.06991,0.32717,0.11433
80.1,10.481,8.32,0.00041,-0.02897,0.47230,0.18454
81.0,10.589,8.51,0.00000,0.00858,0.64622,0.18332
81.9,10.688,8.68,-0.00050,0.05006,0.77275,0.10279
82.8,10.778,8.84,-0.00118,0.10162,0.80268,-0.03227
83.7,10.866,8.99,-0.00212,0.16757,0.71846,-0.17693
84.6,10.958,9.15,-0.00349,0.25054,0.51817,-0.29154
85.5,11.057,9.32,-0.00537,0.34891,0.21920,-0.35940
86.4,11.159,9.49,-0.00769,0.44950,-0.13844,-0.37965
87.3,11.262,9.66,-0.00982,0.51784,-0.50335,-0.36037
88.2,11.364,9.25,-0.02222,0.82235,-0.83158,-0.29572
89.1,11.466,8.79,-0.02928,0.82021,-1.08712,-0.20608
90.0,11.572,8.33,-0.02996,0.78290,-1.25469,-0.10783
90.9,11.681,7.84,-0.02813,0.80382,-1.33082,-0.00582
91.8,11.800,7.31,-0.02563,0.83530,-1.31373,0.09612
92.7,11.933,6.77,-0.02404,0.95995,-1.19790,0.19866
93.6,12.086,6.34,-0.02713,1.23710,-0.97032,0.30960
94.5,12.257,6.00,-0.03577,1.45677,-0.62264,0.41810
95.4,12.439,5.73,-0.04623,1.57080,-0.18510,0.50110
96.3,12.615,5.62,-0.05040,1.57080,0.27221,0.53792
97.2,12.771,5.55,-0.05083,1.57080,0.67309,0.51265
98.1,12.900,5.49,-0.04939,1.57080,0.96671,0.41848
99.0,13.003,5.44,-0.04673,1.57080,1.12923,0.24070
99.9,13.090,5.40,-0.04329,1.57080,1.16671,0.00113
100.8,13.181,5.36,-0.03745,1.53268,1.08865,-0.22446
101.7,13.296,5.51,-0.00106,1.08230,0.88070,-0.39862
102.6,13.440,5.72,0.00203,1.23048,0.53835,-0.45185
103.5,13.600,5.96,-0.00099,1.18473,0.14426,-0.40737
104.4,13.760,6.20,-0.00349,1.15073,-0.20674,-0.32746
105.3,13.914,6.43,-0.00568,1.12025,-0.48808,-0.25042
106.2,14.064,6.65,-0.00762,1.09288,-0.70428,-0.18084
107.1,14.207,6.87,-0.00734,0.97585,-0.85317,-0.10962
108.0,14.338,7.08,-0.00495,0.71486,-0.92397,-0.02508
108.9,14.456,7.28,-0.00265,0.35343,-0.90761,0.08015
109.8,14.567,7.48,-0.00067,-0.02357,-0.79886,0.19451
110.7,14.678,7.67,0.00174,-0.32890,-0.59696,0.28267
111.6,14.794,7.86,0.00401,-0.46943,-0.32392,0.31609
112.5,14.912,8.06,0.00483,-0.45689,-0.03213,0.29954
113.4,15.026,8.26,0.00430,-0.36435,0.23069,0.25617
114.3,15.136,8.45,0.00321,-0.24870,0.44463,0.20584
115.2,15.242,8.63,0.00224,-0.16126,0.61043,0.15990
116.1,15.344,8.81,0.00197,-0.14537,0.73678,0.12133
117.0,15.445,8.98,0.00263,-0.19634,0.83196,0.08891
117.9,15.546,8.89,0.00513,-0.31782,0.90192,0.05955
118.8,15.653,8.30,0.01144,-0.51297,0.95047,0.02925
119.7,15.770,7.65,0.01166,-0.47938,0.97896,0.01062
120.6,15.902,6.96,0.01138,-0.61798,0.99044,-0.01017
121.5,16.046,6.33,0.01670,-1.01813,0.96328,-0.08268
122.4,16.202,5.95,0.02523,-1.41377,0.83774,-0.22953
123.3,16.373,5.64,0.03721,-1.57080,0.55448,-0.41462
124.2,16.564,5.38,0.04323,-1.57080,0.08557,-0.58208
125.1,16.757,5.25,0.03722,-1.57080,-0.48483,-0.66035
126.0,16.906,5.16,0.02582,-1.57080,-0.92150,-0.54889
126.9,16.995,5.12,0.01661,-1.57080,-1.09650,-0.22273
127.8,17.063,5.12,0.01000,-1.57080,-1.09860,0.16983
128.7,17.155,5.13,0.00389,-1.57080,-0.93795,0.46544
129.6,17.300,5.16,0.00092,-1.57080,-0.55163,0.57558
130.5,17.488,5.30,-0.00241,-1.45306,-0.03631,0.51209
131.4,17.675,5.58,-0.00315,-1.22576,0.40749,0.38852
132.3,17.848,5.84,-0.00041,-1.20413,0.71325,0.24433
133.2,18.006,6.08,0.00158,-1.11967,0.87702,0.10225
134.1,18.154,6.32,0.00114,-0.79490,0.92195,-0.00537
