# s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
0.0000000,-14.9376096,-4.3945111,-0.1061077,-0.0491320,6.0000000,0.0000000
0.0999340,-14.9268201,-4.2954532,-0.1108156,-0.0453714,6.0000000,0.0000000
0.1998681,-14.9155697,-4.1963302,-0.1151560,-0.0416532,6.0000000,0.0000000
0.2998021,-14.9038949,-4.0971513,-0.1191316,-0.0379738,6.0000000,0.0000000
0.3997362,-14.8918328,-3.9979254,-0.1227449,-0.0343299,6.0000000,0.0000000
0.4996702,-14.8794201,-3.8986613,-0.1259982,-0.0307177,6.0000000,0.0000000
0.5996042,-14.8666936,-3.7993680,-0.1288936,-0.0271334,6.0000000,0.0000000
0.6995383,-14.8536901,-3.7000545,-0.1314328,-0.0235732,6.0000000,0.0000000
0.7994723,-14.8404909,-3.6010651,-0.1336326,-0.0205039,6.0000000,0.0000000
0.8994064,-14.8270861,-3.5020817,-0.1355289,-0.0174660,6.0000000,0.0000000
0.9993404,-14.8135043,-3.4030908,-0.1371226,-0.0144368,6.0000000,0.0000000
1.0992744,-14.7997762,-3.3040942,-0.1384144,-0.0114148,6.0000000,0.0000000
1.1992085,-14.7859324,-3.2050935,-0.1394047,-0.0083985,6.0000000,0.0000000
1.2991425,-14.7720035,-3.1060905,-0.1400937,-0.0053863,6.0000000,0.0000000
1.3990766,-14.7580201,-3.0070868,-0.1404818,-0.0023766,6.0000000,0.0000000
1.4990106,-14.7440126,-2.9080945,-0.1406265,-0.0006621,6.0000000,0.0000000
1.5989447,-14.7299993,-2.8091081,-0.1406151,0.0008905,6.0000000,0.0000000
1.6988787,-14.7159961,-2.7101297,-0.1404484,0.0024441,6.0000000,0.0000000
1.7988127,-14.7020192,-2.6111631,-0.1401265,0.0039994,6.0000000,0.0000000
1.8987468,-14.6880848,-2.5122119,-0.1396490,0.0055573,6.0000000,0.0000000
1.9986808,-14.6742091,-2.4132797,-0.1390159,0.0071185,6.0000000,0.0000000
2.0986149,-14.6604084,-2.3143702,-0.1382268,0.0086841,6.0000000,0.0000000
2.1985489,-14.6466694,-2.2152821,-0.1373143,0.0094078,6.0000000,0.0000000
2.2984829,-14.6330232,-2.1161776,-0.1363462,0.0099476,6.0000000,0.0000000
2.3984170,-14.6194815,-2.0171033,-0.1353244,0.0104896,6.0000000,0.0000000
2.4983510,-14.6060501,-1.9180612,-0.1342488,0.0110339,6.0000000,0.0000000
2.5982851,-14.5927344,-1.8190528,-0.1331192,0.0115806,6.0000000,0.0000000
2.6982191,-14.5795400,-1.7200801,-0.1319355,0.0121298,6.0000000,0.0000000
2.7981531,-14.5664725,-1.6211447,-0.1306975,0.0126816,6.0000000,0.0000000
2.8980872,-14.5534982,-1.5219512,-0.1294237,0.0126495,6.0000000,0.0000000
2.9980212,-14.5406452,-1.4227092,-0.1281683,0.0124411,6.0000000,0.0000000
3.0979553,-14.5279233,-1.3235099,-0.1269344,0.0122327,6.0000000,0.0000000
3.1978893,-14.5153304,-1.2243551,-0.1257222,0.0120243,6.0000000,0.0000000
3.2978233,-14.5028643,-1.1252462,-0.1245315,0.0118158,6.0000000,0.0000000
3.3977574,-14.4905228,-1.0261850,-0.1233623,0.0116072,6.0000000,0.0000000
3.4976914,-14.4783040,-0.9271731,-0.1222148,0.0113986,6.0000000,0.0000000
3.5976255,-14.4661670,-0.8278983,-0.1211034,0.0107019,6.0000000,0.0000000
3.6975595,-14.4541309,-0.7285662,-0.1200759,0.0098345,6.0000000,0.0000000
3.7974935,-14.4421998,-0.6292822,-0.1191360,0.0089632,6.0000000,0.0000000
3.8974276,-14.4303643,-0.5300441,-0.1182839,0.0080883,6.0000000,0.0000000
3.9973616,-14.4186153,-0.4308499,-0.1175198,0.0072099,6.0000000,0.0000000
4.0972957,-14.4069437,-0.3316973,-0.1168440,0.0063284,6.0000000,0.0000000
4.1972297,-14.3953402,-0.2325842,-0.1162566,0.0054439,6.0000000,0.0000000
4.2971638,-14.3837720,-0.1332991,-0.1157278,0.0053268,6.0000000,0.0000000
4.3970978,-14.3722531,-0.0339772,-0.1151883,0.0054638,6.0000000,0.0000000
4.4970318,-14.3607923,0.0653182,-0.1146354,0.0055998,6.0000000,0.0000000
4.5969659,-14.3493901,0.1645933,-0.1140691,0.0057345,6.0000000,0.0000000
4.6968999,-14.3380472,0.2638539,-0.1134895,0.0058680,6.0000000,0.0000000
4.7968340,-14.3267642,0.3631062,-0.1128967,0.0060002,6.0000000,0.0000000
4.8967680,-14.3155417,0.4623563,-0.1122909,0.0061311,6.0000000,0.0000000
4.9967020,-14.3043762,0.5616462,-0.1116745,0.0061904,6.0000000,0.0000000
5.0966361,-14.2932710,0.6609529,-0.1110540,0.0062289,6.0000000,0.0000000
5.1965701,-14.2822275,0.7602678,-0.1104297,0.0062671,6.0000000,0.0000000
5.2965042,-14.2712458,0.8595925,-0.1098015,0.0063048,6.0000000,0.0000000
5.3964382,-14.2603263,0.9589286,-0.1091696,0.0063421,6.0000000,0.0000000
5.4963722,-14.2494690,1.0582779,-0.1085339,0.0063790,6.0000000,0.0000000
5.5963063,-14.2386742,1.1576419,-0.1078945,0.0064154,6.0000000,0.0000000
5.6962403,-14.2279474,1.2569706,-0.1072594,0.0062611,6.0000000,0.0000000
5.7961744,-14.2172830,1.3563044,-0.1066439,0.0060608,6.0000000,0.0000000
5.8961084,-14.2066774,1.4556564,-0.1060483,0.0058603,6.0000000,0.0000000
