# s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
0.0000000,-15.5812880,-4.3547831,-0.0442057,-0.0859989,7.5535264,5.0000000
0.0999383,-15.5764427,-4.2547844,-0.0525290,-0.0802519,7.6193926,5.0000000
0.1998766,-15.5708008,-4.1549353,-0.0602624,-0.0743834,7.6846943,5.0000000
0.2998149,-15.5644216,-4.0552095,-0.0673980,-0.0684116,7.7494458,5.0000000
0.3997532,-15.5573647,-3.9555806,-0.0739290,-0.0623537,7.8136606,5.0000000
0.4996914,-15.5496895,-3.8560224,-0.0798498,-0.0562264,7.8773521,5.0000000
0.5996297,-15.5414555,-3.7565084,-0.0851561,-0.0500454,7.9405326,5.0000000
0.6995680,-15.5327221,-3.6570125,-0.0898442,-0.0438257,8.0032144,5.0000000
0.7995063,-15.5235488,-3.5575082,-0.0939116,-0.0375817,8.0654091,5.0000000
0.8994446,-15.5139951,-3.4579693,-0.0973570,-0.0313270,8.1271278,5.0000000
0.9993829,-15.5041562,-3.3587606,-0.1002782,-0.0273372,8.1883814,5.0000000
1.0993212,-15.4940394,-3.2595058,-0.1028105,-0.0234304,8.2491801,5.0000000
1.1992595,-15.4836828,-3.1602004,-0.1049558,-0.0195465,8.3095340,5.0000000
1.2991977,-15.4731253,-3.0608499,-0.1067155,-0.0156825,8.3694527,5.0000000
1.3991360,-15.4624060,-2.9614595,-0.1080908,-0.0118354,8.4289455,5.0000000
1.4990743,-15.4515639,-2.8620345,-0.1090827,-0.0080018,8.4880212,5.0000000
1.5990126,-15.4406381,-2.7625805,-0.1096919,-0.0041785,8.5466887,5.0000000
1.6989509,-15.4296675,-2.6631026,-0.1099191,-0.0003623,8.6049561,5.0000000
1.7988892,-15.4186913,-2.5636063,-0.1097645,0.0034502,8.6628317,5.0000000
1.8988275,-15.4077659,-2.4642780,-0.1093062,0.0055790,8.7203232,5.0000000
1.9987658,-15.3968969,-2.3649526,-0.1086503,0.0075498,8.7774381,5.0000000
2.0987041,-15.3861021,-2.2656118,-0.1077974,0.0095201,8.8341837,5.0000000
2.1986423,-15.3754010,-2.1662540,-0.1067476,0.0114899,8.8905672,5.0000000
2.2985806,-15.3648133,-2.0668776,-0.1055009,0.0134593,8.9465953,5.0000000
2.3985189,-15.3543587,-1.9674811,-0.1040573,0.0154283,9.0022747,5.0000000
2.4984572,-15.3440568,-1.8680630,-0.1024169,0.0173970,9.0576119,5.0000000
2.5983955,-15.3339273,-1.7686217,-0.1005796,0.0193653,9.1126130,5.0000000
2.6983338,-15.3239897,-1.6691558,-0.0985454,0.0213333,9.1672842,5.0000000
2.7982721,-15.3142655,-1.5696939,-0.0963555,0.0223331,9.2216312,5.0000000
2.8982104,-15.3047635,-1.4702121,-0.0940832,0.0231433,9.2756598,5.0000000
2.9981486,-15.2954913,-1.3707054,-0.0917298,0.0239545,9.3293755,5.0000000
3.0980869,-15.2864572,-1.2711746,-0.0892952,0.0247667,9.3827837,5.0000000
3.1980252,-15.2776693,-1.1716205,-0.0867794,0.0255799,9.4358896,5.0000000
3.2979635,-15.2691360,-1.0720440,-0.0841822,0.0263942,9.4886983,5.0000000
3.3979018,-15.2608654,-0.9724459,-0.0815036,0.0272096,9.5412148,5.0000000
3.4978401,-15.2528657,-0.8728269,-0.0787435,0.0280260,9.5934437,5.0000000
