s_m,t_s,v_mps,beta_rad,omega_z_radps,n_m,xi_rad
0.0,0.000,4.52,0.02202,1.54512,-0.07465,-0.23019
0.1,0.023,4.55,0.02113,1.51906,-0.09597,-0.22323
0.2,0.046,4.58,0.02034,1.49015,-0.11668,-0.21539
0.3,0.069,4.62,0.01965,1.46371,-0.13664,-0.20665
0.4,0.092,4.65,0.01904,1.44404,-0.15573,-0.19690
0.5,0.114,4.68,0.01849,1.43339,-0.17379,-0.18595
0.6,0.136,4.72,0.01793,1.42796,-0.19069,-0.17367
0.7,0.159,4.75,0.01729,1.42166,-0.20628,-0.16005
0.8,0.180,4.78,0.01663,1.41428,-0.22041,-0.14515
0.9,0.202,4.82,0.01597,1.40644,-0.23296,-0.12903
1.0,0.224,4.85,0.01533,1.39855,-0.24380,-0.11177
1.1,0.245,4.88,0.01470,1.39079,-0.25284,-0.09342
1.2,0.266,4.91,0.01409,1.38320,-0.25997,-0.07406
1.3,0.287,4.94,0.01342,1.36762,-0.26511,-0.05386
1.4,0.307,4.97,0.01266,1.33630,-0.26823,-0.03313
1.5,0.327,5.01,0.01185,1.28667,-0.26930,-0.01231
1.6,0.348,5.04,0.01102,1.21776,-0.26836,0.00818
1.7,0.368,5.07,0.01018,1.12932,-0.26548,0.02787
1.8,0.387,5.10,0.00928,1.02179,-0.26077,0.04633
1.9,0.407,5.13,0.00825,0.89640,-0.25439,0.06318
2.0,0.427,5.17,0.00705,0.75513,-0.24654,0.07805
2.1,0.446,5.20,0.00563,0.60040,-0.23746,0.09065
2.2,0.465,5.23,0.00399,0.43489,-0.22740,0.10077
2.3,0.484,5.27,0.00218,0.26138,-0.21665,0.10823
2.4,0.503,5.30,0.00028,0.08275,-0.20548,0.11294
2.5,0.522,5.33,-0.00164,-0.09799,-0.19418,0.11488
2.6,0.541,5.37,-0.00346,-0.27760,-0.18302,0.11406
2.7,0.559,5.40,-0.00509,-0.45271,-0.17226,0.11058
2.8,0.578,5.43,-0.00643,-0.61986,-0.16212,0.10460
2.9,0.596,5.46,-0.00741,-0.77568,-0.15282,0.09634
3.0,0.614,5.49,-0.00798,-0.91720,-0.14452,0.08609
3.1,0.632,5.52,-0.00813,-1.04221,-0.13737,0.07417
3.2,0.650,5.54,-0.00785,-1.14948,-0.13146,0.06095
3.3,0.668,5.57,-0.00719,-1.23884,-0.12687,0.04681
3.4,0.686,5.60,-0.00623,-1.31089,-0.12362,0.03214
3.5,0.704,5.62,-0.00497,-1.37952,-0.12174,0.01717
3.6,0.721,5.63,-0.00340,-1.43999,-0.12121,0.00209
3.7,0.739,5.65,-0.00156,-1.48927,-0.12199,-0.01286
3.8,0.756,5.66,0.00049,-1.52618,-0.12403,-0.02739
3.9,0.773,5.67,0.00266,-1.55096,-0.12726,-0.04124
4.0,0.791,5.67,0.00483,-1.56493,-0.13158,-0.05413
4.1,0.808,5.68,0.00692,-1.57040,-0.13690,-0.06585
4.2,0.825,5.68,0.00885,-1.57079,-0.14308,-0.07622
4.3,0.842,5.68,0.01058,-1.57079,-0.15001,-0.08515
4.4,0.860,5.68,0.01213,-1.57079,-0.15756,-0.09260
4.5,0.877,5.68,0.01353,-1.57079,-0.16558,-0.09852
4.6,0.894,5.68,0.01481,-1.57079,-0.17394,-0.10289
4.7,0.911,5.68,0.01597,-1.57079,-0.18249,-0.10569
4.8,0.927,5.68,0.01704,-1.57079,-0.19108,-0.10693
4.9,0.944,5.68,0.01802,-1.57079,-0.19957,-0.10663
5.0,0.961,5.67,0.01893,-1.57079,-0.20783,-0.10485
5.1,0.977,5.67,0.01976,-1.57079,-0.21573,-0.10166
5.2,0.994,5.67,0.02054,-1.57079,-0.22315,-0.09716
5.3,1.010,5.66,0.02125,-1.57079,-0.22999,-0.09149
5.4,1.027,5.66,0.02191,-1.57079,-0.23616,-0.08478
5.5,1.043,5.65,0.02252,-1.57079,-0.24159,-0.07719
5.6,1.059,5.65,0.02309,-1.57079,-0.24620,-0.06887
5.7,1.076,5.65,0.02361,-1.57079,-0.24997,-0.05999
5.8,1.092,5.64,0.02409,-1.57079,-0.25284,-0.05068
5.9,1.108,5.64,0.02453,-1.57079,-0.25481,-0.04106
6.0,1.124,5.63,0.02494,-1.57079,-0.25585,-0.03126
6.1,1.140,5.63,0.02531,-1.57079,-0.25596,-0.02137
6.2,1.156,5.62,0.02565,-1.57062,-0.25514,-0.01148
6.3,1.173,5.62,0.02595,-1.56999,-0.25338,-0.00167
6.4,1.189,5.61,0.02622,-1.56870,-0.25072,0.00799
6.5,1.205,5.61,0.02645,-1.56659,-0.24715,0.01745
6.6,1.221,5.60,0.02662,-1.56350,-0.24270,0.02667
6.7,1.238,5.59,0.02672,-1.55929,-0.23739,0.03559
6.8,1.254,5.59,0.02674,-1.55381,-0.23125,0.04421
6.9,1.271,5.58,0.02666,-1.54691,-0.22430,0.05247
7.0,1.288,5.58,0.02646,-1.53840,-0.21660,0.06036
7.1,1.304,5.57,0.02612,-1.52809,-0.20817,0.06785
7.2,1.321,5.57,0.02562,-1.51574,-0.19906,0.07489
7.3,1.338,5.57,0.02494,-1.50110,-0.18932,0.08146
7.4,1.355,5.56,0.02404,-1.48389,-0.17900,0.08752
7.5,1.372,5.56,0.02292,-1.46383,-0.16818,0.09303
7.6,1.389,5.56,0.02154,-1.44067,-0.15692,0.09794
7.7,1.407,5.56,0.01989,-1.41429,-0.14531,0.10224
7.8,1.424,5.56,0.01797,-1.38478,-0.13342,0.10591
7.9,1.442,5.56,0.01581,-1.35263,-0.12135,0.10893
8.0,1.459,5.57,0.01345,-1.31884,-0.10917,0.11129
8.1,1.477,5.58,0.01097,-1.28503,-0.09699,0.11295
8.2,1.495,5.59,0.00849,-1.25334,-0.08487,0.11385
8.3,1.512,5.60,0.00614,-1.22603,-0.07290,0.11392
8.4,1.530,5.62,0.00405,-1.20496,-0.06114,0.11303
8.5,1.548,5.64,0.00231,-1.19109,-0.04969,0.11105
8.6,1.565,5.66,0.00097,-1.18436,-0.03861,0.10785
8.7,1.583,5.69,0.00002,-1.18383,-0.02801,0.10333
8.8,1.601,5.71,-0.00058,-1.18800,-0.01800,0.09739
8.9,1.618,5.74,-0.00087,-1.19504,-0.00868,0.09002
9.0,1.635,5.77,-0.00092,-1.20261,-0.00018,0.08123
9.1,1.653,5.79,-0.00075,-1.20548,0.00738,0.07115
9.2,1.670,5.82,-0.00048,-1.20430,0.01390,0.05993
9.3,1.687,5.84,-0.00017,-1.20090,0.01927,0.04773
9.4,1.704,5.87,0.00014,-1.19668,0.02341,0.03468
9.5,1.721,5.89,0.00044,-1.19235,0.02623,0.02090
9.6,1.738,5.92,0.00073,-1.18815,0.02766,0.00650
9.7,1.755,5.94,0.00102,-1.18412,0.02766,-0.00841
9.8,1.772,5.97,0.00130,-1.18022,0.02617,-0.02375
9.9,1.789,5.99,0.00157,-1.17642,0.02315,-0.03944
10.0,1.806,6.02,0.00184,-1.17279,0.01858,-0.05542
10.1,1.822,6.04,0.00211,-1.16897,0.01241,-0.07164
10.2,1.839,6.07,0.00239,-1.16153,0.00464,-0.08801
10.3,1.855,6.09,0.00270,-1.14605,-0.00475,-0.10441
10.4,1.872,6.12,0.00297,-1.12041,-0.01576,-0.12064
10.5,1.888,6.14,0.00318,-1.08351,-0.02837,-0.13650
10.6,1.905,6.17,0.00329,-1.03474,-0.04255,-0.15177
10.7,1.921,6.19,0.00327,-0.97379,-0.05823,-0.16623
10.8,1.937,6.22,0.00314,-0.90061,-0.07535,-0.17967
10.9,1.953,6.25,0.00292,-0.81558,-0.09381,-0.19186
11.0,1.970,6.27,0.00265,-0.71954,-0.11347,-0.20260
11.1,1.986,6.30,0.00238,-0.61379,-0.13419,-0.21172
11.2,2.002,6.33,0.00216,-0.49996,-0.15579,-0.21908
11.3,2.018,6.36,0.00203,-0.37991,-0.17807,-0.22456
11.4,2.034,6.38,0.00198,-0.25557,-0.20083,-0.22809
11.5,2.050,6.41,0.00200,-0.12895,-0.22385,-0.22965
11.6,2.066,6.41,0.00215,-0.00423,-0.24692,-0.22928
11.7,2.082,6.36,0.00232,0.13102,-0.26983,-0.22691
11.8,2.098,6.27,0.00218,0.27633,-0.29238,-0.22237
11.9,2.115,6.18,0.00169,0.41832,-0.31437,-0.21561
12.0,2.132,6.09,0.00098,0.55150,-0.33563,-0.20669
12.1,2.148,6.00,0.00011,0.67534,-0.35594,-0.19575
12.2,2.165,5.91,-0.00078,0.78800,-0.37514,-0.18296
12.3,2.183,5.82,-0.00165,0.89374,-0.39304,-0.16847
12.4,2.200,5.74,-0.00255,0.99457,-0.40948,-0.15238
12.5,2.218,5.66,-0.00353,1.09118,-0.42432,-0.13479
12.6,2.236,5.58,-0.00456,1.17577,-0.43742,-0.11587
12.7,2.255,5.51,-0.00549,1.25352,-0.44867,-0.09584
12.8,2.273,5.45,-0.00637,1.32679,-0.45795,-0.07485
12.9,2.292,5.39,-0.00732,1.39426,-0.46517,-0.05305
13.0,2.311,5.33,-0.00841,1.45359,-0.47025,-0.03063
13.1,2.331,5.28,-0.00967,1.50232,-0.47315,-0.00783
13.2,2.350,5.23,-0.01107,1.53858,-0.47385,0.01504
13.3,2.370,5.19,-0.01256,1.56131,-0.47233,0.03767
13.4,2.390,5.14,-0.01399,1.57078,-0.46862,0.05970
13.5,2.411,5.09,-0.01520,1.57079,-0.46275,0.08084
13.6,2.432,5.04,-0.01598,1.57079,-0.45476,0.10090
13.7,2.453,4.99,-0.01637,1.57079,-0.44468,0.11981
13.8,2.475,4.94,-0.01639,1.57079,-0.43258,0.13750
13.9,2.497,4.89,-0.01606,1.57079,-0.41853,0.15390
14.0,2.520,4.84,-0.01541,1.57080,-0.40263,0.16896
14.1,2.542,4.79,-0.01442,1.57080,-0.38496,0.18267
14.2,2.566,4.74,-0.01313,1.57080,-0.36565,0.19502
14.3,2.589,4.68,-0.01154,1.57080,-0.34482,0.20602
14.4,2.613,4.62,-0.00968,1.57080,-0.32261,0.21573
14.5,2.638,4.56,-0.00756,1.57080,-0.29915,0.22418
14.6,2.662,4.50,-0.00521,1.57080,-0.27459,0.23146
14.7,2.687,4.44,-0.00265,1.57080,-0.24906,0.23763
14.8,2.713,4.37,0.00007,1.57080,-0.22269,0.24277
14.9,2.738,4.30,0.00295,1.57080,-0.19563,0.24696
15.0,2.764,4.22,0.00596,1.57080,-0.16798,0.25027
15.1,2.790,4.14,0.00910,1.57080,-0.13988,0.25279
15.2,2.817,4.05,0.01235,1.57080,-0.11143,0.25456
15.3,2.844,3.96,0.01575,1.57080,-0.08271,0.25567
15.4,2.871,3.87,0.01930,1.57080,-0.05383,0.25615
15.5,2.899,3.76,0.02305,1.57080,-0.02486,0.25608
15.6,2.927,3.65,0.02706,1.57080,0.00415,0.25551
15.7,2.956,3.53,0.03139,1.57080,0.03313,0.25452
15.8,2.985,3.41,0.03615,1.57080,0.06207,0.25320
15.9,3.015,3.27,0.04168,1.57080,0.09096,0.25165
16.0,3.046,3.13,0.04794,1.57080,0.11983,0.24996
16.1,3.078,3.02,0.05587,1.57080,0.14874,0.24785
16.2,3.110,2.99,0.06338,1.57080,0.17760,0.24391
16.3,3.141,3.01,0.06609,1.57080,0.20579,0.23695
16.4,3.171,3.06,0.06570,1.57080,0.23262,0.22645
16.5,3.200,3.11,0.06422,1.57080,0.25762,0.21234
16.6,3.227,3.16,0.06263,1.57080,0.28050,0.19475
16.7,3.254,3.20,0.06111,1.57080,0.30108,0.17393
16.8,3.280,3.24,0.05967,1.57080,0.31924,0.15020
16.9,3.304,3.28,0.05830,1.57080,0.33490,0.12397
17.0,3.328,3.32,0.05700,1.57080,0.34802,0.09570
17.1,3.351,3.36,0.05576,1.57080,0.35860,0.06587
17.2,3.374,3.39,0.05456,1.57080,0.36665,0.03502
17.3,3.396,3.43,0.05341,1.57080,0.37220,0.00366
17.4,3.418,3.46,0.05228,1.57080,0.37528,-0.02767
17.5,3.440,3.50,0.05119,1.57080,0.37592,-0.05849
17.6,3.461,3.53,0.05011,1.57080,0.37418,-0.08834
17.7,3.483,3.57,0.04904,1.57080,0.37009,-0.11683
17.8,3.505,3.60,0.04799,1.57080,0.36371,-0.14365
17.9,3.527,3.64,0.04694,1.57080,0.35511,-0.16856
18.0,3.549,3.67,0.04590,1.57080,0.34435,-0.19138
18.1,3.571,3.71,0.04486,1.57080,0.33153,-0.21199
18.2,3.593,3.74,0.04382,1.57080,0.31676,-0.23034
18.3,3.616,3.78,0.04278,1.57080,0.30013,-0.24645
18.4,3.639,3.81,0.04174,1.57080,0.28180,-0.26037
18.5,3.663,3.85,0.04071,1.57080,0.26190,-0.27216
18.6,3.686,3.89,0.03968,1.57080,0.24057,-0.28196
18.7,3.710,3.92,0.03865,1.57080,0.21796,-0.28987
18.8,3.734,3.96,0.03762,1.57080,0.19424,-0.29603
18.9,3.758,4.00,0.03660,1.57080,0.16955,-0.30056
19.0,3.782,4.03,0.03559,1.57080,0.14404,-0.30357
19.1,3.806,4.07,0.03458,1.57080,0.11786,-0.30518
19.2,3.830,4.11,0.03357,1.57080,0.09116,-0.30544
19.3,3.855,4.15,0.03258,1.57080,0.06408,-0.30442
19.4,3.879,4.18,0.03159,1.57080,0.03676,-0.30216
19.5,3.904,4.22,0.03061,1.57080,0.00937,-0.29867
19.6,3.928,4.26,0.02958,1.56678,-0.01795,-0.29400
19.7,3.953,4.30,0.02847,1.55472,-0.04507,-0.28829
19.8,3.977,4.33,0.02740,1.54223,-0.07184,-0.28159
19.9,4.001,4.37,0.02639,1.53035,-0.09812,-0.27385
20.0,4.026,4.41,0.02541,1.51900,-0.12375,-0.26502
20.1,4.050,4.44,0.02447,1.50804,-0.14858,-0.25504
20.2,4.074,4.48,0.02355,1.49738,-0.17244,-0.24386
20.3,4.097,4.51,0.02267,1.48702,-0.19516,-0.23144
20.4,4.121,4.55,0.02181,1.47693,-0.21659,-0.21777
20.5,4.144,4.58,0.02099,1.46712,-0.23656,-0.20285
20.6,4.167,4.62,0.02018,1.45758,-0.25492,-0.18672
20.7,4.190,4.65,0.01941,1.44830,-0.27156,-0.16944
20.8,4.212,4.69,0.01866,1.43922,-0.28635,-0.15109
20.9,4.234,4.72,0.01778,1.41649,-0.29921,-0.13196
21.0,4.256,4.76,0.01683,1.37738,-0.31011,-0.11250
21.1,4.278,4.79,0.01584,1.32264,-0.31906,-0.09317
21.2,4.300,4.82,0.01485,1.25421,-0.32611,-0.07438
21.3,4.321,4.86,0.01386,1.17470,-0.33136,-0.05649
21.4,4.342,4.89,0.01285,1.08728,-0.33493,-0.03979
