# s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
0.0000000,0.5899891,-0.9138527,-3.0379416,0.1407453,4.7619204,5.0000000
0.0999055,0.6010392,-1.0131436,-3.0234275,0.1497095,4.8656902,5.0000000
0.1998110,0.6135670,-1.1122595,-3.0082211,0.1545957,4.9672927,5.0000000
0.2997165,0.6276263,-1.2111726,-2.9924775,0.1607031,5.0668582,5.0000000
0.3996220,0.6432727,-1.3098478,-2.9760775,0.1677329,5.1645045,5.0000000
0.4995275,0.6605716,-1.4082478,-2.9589254,0.1757907,5.2603385,5.0000000
0.5994330,0.6795960,-1.5063291,-2.9409528,0.1839440,5.3544576,5.0000000
0.6993385,0.7004192,-1.6040439,-2.9221819,0.1916809,5.4469507,5.0000000
0.7992440,0.7231095,-1.7013412,-2.9026611,0.1989645,5.5378991,5.0000000
0.8991496,0.7477289,-1.7981673,-2.8824373,0.2057083,5.6273779,5.0000000
0.9990551,0.7743324,-1.8944658,-2.8615724,0.2117636,5.7154560,5.0000000
1.0989606,0.8029665,-1.9901786,-2.8401371,0.2171861,5.8021972,4.6883234
1.1988661,0.8336698,-2.0852465,-2.8181994,0.2216056,5.8823695,4.3319448
1.2987716,0.8664690,-2.1796104,-2.7959098,0.2238473,5.9554883,4.0606202
1.3986771,0.9013686,-2.2732167,-2.7735499,0.2229474,6.0232215,3.9116474
1.4985826,0.9383426,-2.3660226,-2.7514496,0.2186278,6.0877572,3.8974823
1.5984881,0.9773330,-2.4579995,-2.7299614,0.2106246,6.1513858,4.0300622
1.6983936,1.0182484,-2.5491369,-2.7094720,0.1985918,6.2164941,4.3254607
1.7982991,1.0609621,-2.6394463,-2.6903968,0.1823274,6.2856243,4.7964150
1.8982046,1.1053120,-2.7289649,-2.6731598,0.1618799,6.3614031,5.0000000
1.9981101,1.1511022,-2.8177569,-2.6581644,0.1376114,6.4394491,5.0000000
2.0980156,1.1981073,-2.9059130,-2.6457615,0.1101800,6.5165604,5.0000000
2.1979211,1.2460789,-2.9935482,-2.6362247,0.0804345,6.5927699,5.0000000
2.2978266,1.2947525,-3.0807961,-2.6297393,0.0492661,6.6681084,5.0000000
2.3977321,1.3438544,-3.1678040,-2.6264043,0.0174975,6.7426052,5.0000000
2.4976376,1.3931084,-3.2547259,-2.6262424,-0.0141547,6.8162878,5.0000000
2.5975431,1.4422398,-3.3417168,-2.6292090,-0.0450600,6.8891825,5.0000000
2.6974487,1.4909799,-3.4289270,-2.6352004,-0.0746496,6.9613138,-3.6845591
2.7973542,1.5390696,-3.5164969,-2.6440584,-0.1024055,6.9082324,-6.0532872
2.8972597,1.5862627,-3.6045526,-2.6555756,-0.1278474,6.8201291,-5.1532015
2.9971652,1.6323298,-3.6932021,-2.6694981,-0.1505304,6.7442194,-4.4119636
3.0970707,1.6770615,-3.7825325,-2.6855333,-0.1701241,6.6785429,-3.8261023
3.1969762,1.7202717,-3.8726085,-2.7033630,-0.1864550,6.6210602,-3.3881546
3.2968817,1.7617998,-3.9634719,-2.7226620,-0.1995263,6.5697373,-3.0920664
3.3967872,1.8015117,-4.0551436,-2.7431044,-0.2093835,6.5225470,-2.9132879
3.4966927,1.8393003,-4.1476247,-2.7643920,-0.2165487,6.4777706,-2.8173428
3.5965982,1.8750812,-4.2409010,-2.7863034,-0.2218109,6.4341725,-2.8173136
3.6965037,1.9087887,-4.3349466,-2.8086309,-0.2248532,6.3902774,-2.8135415
3.7964092,1.9403773,-4.4297252,-2.8311507,-0.2256531,6.3461381,-2.9035195
3.8963147,1.9698233,-4.5251913,-2.8536443,-0.2243376,6.3002630,-3.0829091
3.9962202,1.9971241,-4.6212933,-2.8759103,-0.2211187,6.2511851,-3.3438666
4.0961257,2.0222969,-4.7179749,-2.8977722,-0.2162873,6.1975135,-3.6751092
4.1960312,2.0453758,-4.8151779,-2.9190859,-0.2102338,6.1379839,-4.0609183
4.2959367,2.0664088,-4.9128444,-2.9397555,-0.2033828,6.0715262,-4.4831555
4.3958422,2.0854536,-5.0109182,-2.9597002,-0.1956779,5.9973032,-4.9418110
4.4957478,2.1025781,-5.1093455,-2.9788278,-0.1870701,5.9144076,-5.4361521
4.5956533,2.1178606,-5.2080755,-2.9970600,-0.1777953,5.8218566,-5.9542941
4.6955588,2.1313872,-5.3070609,-3.0143403,-0.1680675,5.7187657,-6.4850746
4.7954643,2.1432501,-5.4062589,-3.0306354,-0.1581428,5.6043280,-7.0161569
4.8953698,2.1535441,-5.5056309,-3.0459410,-0.1483552,5.4778268,-7.5334688
4.9952753,2.1623640,-5.6051435,-3.0602899,-0.1390793,5.3386624,-8.0231981
5.0951808,2.1698000,-5.7047677,-3.0737506,-0.1306438,5.1863468,-8.4750415
5.1950863,2.1759347,-5.8044795,-3.0864215,-0.1233208,5.0204369,-8.8826484
5.2949918,2.1808397,-5.9042579,-3.0984264,-0.1173291,4.8404479,-9.2434299
5.3948973,2.1845741,-6.0040875,-3.1099049,-0.1127862,4.6457504,-9.5596626
5.4948028,2.1871819,-6.1039529,-3.1210300,-0.1103487,4.4354110,-9.8225635
5.5947083,2.1886907,-6.2038332,-3.1318707,-0.1061462,4.2083505,-10.0656575
5.6946138,2.1891163,-6.3037832,3.1400685,-0.1232145,3.9621945,-8.8436330
5.7945193,2.1882102,-6.4036987,3.1231782,-0.2265563,3.7325500,-7.7762776
5.8944248,2.1850558,-6.5036002,3.0949844,-0.3412242,3.5182586,-6.5817729
5.9943303,2.1784492,-6.6035347,3.0536581,-0.4897596,3.3261138,-5.1313293
6.0942358,2.1669272,-6.7029555,2.9955229,-0.6842848,3.1682388,-3.3050487
6.1941414,2.1486457,-6.8010619,2.9152373,-0.9272289,3.0622462,0.0000000
6.2940469,2.1213216,-6.8966487,2.8048993,-1.2796790,3.0622462,0.0000000
6.3939524,2.0825296,-6.9881980,2.6787833,-1.1788053,3.0622462,0.9459275
6.4938579,2.0329062,-7.0752693,2.5722443,-0.9521465,3.0929531,2.8914246
6.5937634,1.9756129,-7.1566598,2.4874304,-0.7566809,3.1849799,4.3241554
6.6936689,1.9121359,-7.2337034,2.4200324,-0.6003213,3.3178474,5.0000000
6.7935744,1.8440210,-7.3069089,2.3665738,-0.4694430,3.4651358,5.0000000
6.8934799,1.7724789,-7.3768327,2.3242605,-0.3875094,3.6064139,5.0000000
6.9933854,1.6983098,-7.4438644,2.2877785,-0.3460837,3.7423624,5.0000000
7.0932909,1.6218862,-7.5082747,2.2550368,-0.3094036,3.8735425,5.0000000
7.1931964,1.5435117,-7.5702851,2.2258272,-0.2758623,4.0004233,5.0000000
7.2931019,1.4634675,-7.6301018,2.1998061,-0.2456054,4.1234017,5.0000000
7.3930074,1.3819897,-7.6879275,2.1766720,-0.2181027,4.2428170,5.0000000
7.4929129,1.2992791,-7.7439577,2.1561670,-0.1929380,4.3589622,5.0000000
7.5928184,1.2155081,-7.7983801,2.1380804,-0.1696223,4.4720920,5.0000000
7.6927239,1.1308274,-7.8513745,2.1222479,-0.1477169,4.5824297,5.0000000
7.7926294,1.0453714,-7.9031151,2.1085506,-0.1267680,4.6901723,5.0000000
7.8925349,0.9592621,-7.9537719,2.0969000,-0.1066447,4.7954949,5.0000000
7.9924405,0.8726119,-8.0035120,2.0872382,-0.0868400,4.8985535,5.0000000
8.0923460,0.7855279,-8.0524994,2.0794798,-0.0687155,4.9994882,5.0000000
8.1922515,0.6981022,-8.1008945,2.0735912,-0.0486558,5.0984249,5.0000000
8.2921570,0.6104341,-8.1488497,2.0690976,-0.0459292,5.1954780,5.0000000
8.3920625,0.5225567,-8.1963905,2.0641282,-0.0552888,5.2907511,5.0000000
8.4919680,0.4344237,-8.2434420,2.0580217,-0.0668227,5.3843386,5.0000000
8.5918735,0.3459783,-8.2899036,2.0507552,-0.0789032,5.4763270,5.0000000
8.6917790,0.2571702,-8.3356660,2.0422492,-0.0912996,5.5667955,5.0000000
8.7916845,0.1679492,-8.3806162,2.0325217,-0.1032699,5.6558171,5.0000000
