# s_m,t_s,v_mps,beta_rad,omega_z_radps,n_m,xi_rad
0.0,0.000,4.00,-0.03250,-1.57058,-0.36149,-0.09632
0.7,0.142,3.90,-0.03349,-1.57073,-0.39578,0.04363
1.4,0.301,3.18,-0.04410,-1.57073,-0.36283,0.13476
2.1,0.478,3.45,-0.05372,-1.57068,-0.29191,0.20860
2.8,0.655,3.73,-0.04385,-1.57070,-0.17005,0.26588
3.5,0.834,4.00,-0.03617,-1.57064,-0.00491,0.28288
4.2,1.018,4.00,-0.03187,-1.52755,0.16181,0.22362
4.9,1.203,4.00,-0.02289,-0.95796,0.28539,0.15057
5.6,1.383,4.00,-0.00913,-0.31713,0.37199,0.10439
6.3,1.554,4.00,0.00475,0.23820,0.43869,0.07335
7.0,1.714,4.00,0.01490,0.63795,0.48265,0.02501
7.7,1.866,4.00,0.01898,0.79841,0.48731,-0.05175
8.4,2.019,4.00,0.01519,0.61233,0.43558,-0.14404
9.1,2.186,4.00,0.00177,0.01872,0.30831,-0.23021
9.8,2.369,4.00,-0.01681,-0.74579,0.09921,-0.29886
10.5,2.554,4.00,-0.03124,-1.40507,-0.16141,-0.34436
11.2,2.721,3.81,-0.03522,-1.57070,-0.39326,-0.29065
11.9,2.873,3.11,-0.04787,-1.57072,-0.53309,-0.14772
12.6,3.021,2.97,-0.06618,-1.57070,-0.58088,0.06817
13.3,3.174,2.96,-0.06769,-1.57072,-0.53161,0.26939
14.0,3.347,3.23,-0.06011,-1.57072,-0.38276,0.39835
14.7,3.540,3.53,-0.04980,-1.57071,-0.14195,0.44873
15.4,3.746,3.85,-0.04032,-1.57068,0.15532,0.42899
16.1,3.956,4.00,-0.03421,-1.57046,0.44236,0.34524
16.8,4.164,4.00,-0.02948,-1.35602,0.65928,0.23621
17.5,4.362,4.00,-0.02237,-0.93166,0.79259,0.13999
18.2,4.545,4.00,-0.01541,-0.61325,0.85232,0.04748
18.9,4.718,4.00,-0.00983,-0.38191,0.84816,-0.04055
19.6,4.890,4.00,-0.00694,-0.27285,0.79044,-0.10947
20.3,5.069,4.00,-0.00716,-0.29254,0.69047,-0.15091
21.0,5.256,4.00,-0.01066,-0.44663,0.56169,-0.16760
21.7,5.448,4.00,-0.01697,-0.71953,0.41621,-0.17212
22.4,5.642,4.00,-0.02453,-1.06090,0.25973,-0.18086
23.1,5.832,4.00,-0.03093,-1.40304,0.09033,-0.20530
23.8,6.013,4.00,-0.03277,-1.57034,-0.08804,-0.22294
24.5,6.180,4.00,-0.03244,-1.57065,-0.25083,-0.19288
25.2,6.331,4.00,-0.03250,-1.57058,-0.36149,-0.09632
