# s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
0.0000000,0.1700035,-0.0850924,-1.5507485,-0.1965354,4.0000000,0.0000000
0.0999774,0.2719871,-0.0840679,-1.5707524,-0.1965018,4.0000000,0.0000000
0.1999548,0.3742377,-0.0850967,-1.5910406,-0.2010817,4.0000000,0.0000000
0.2999322,0.4761236,-0.0882186,-1.6119746,-0.2105042,4.0000000,0.0000000
0.3999096,0.5770133,-0.0934733,-1.6339418,-0.2253783,4.0000000,0.0000000
0.4998870,0.6762755,-0.1009006,-1.6573781,-0.2467723,4.0000000,0.0000000
0.5998644,0.7732785,-0.1105404,-1.6827955,-0.2763657,4.0000000,0.0000000
0.6998418,0.8696055,-0.1227452,-1.7115198,-0.3165359,4.0000000,-3.0243330
0.7998192,0.9785251,-0.1402160,-1.7490803,-0.3664226,3.9236807,-5.9249949
0.8997966,1.0821496,-0.1610773,-1.7909104,-0.4275000,3.7696869,-5.4027698
0.9997740,1.1802356,-0.1853823,-1.8377429,-0.5024459,3.6235658,-4.7613770
1.0997514,1.2725396,-0.2131838,-1.8904310,-0.5943934,3.4897234,-3.9514479
1.1997287,1.3588183,-0.2445348,-1.9499494,-0.7067537,3.3746197,-2.6311161
1.2997061,1.4459824,-0.2829465,-2.0242850,-0.8625413,3.2957479,-1.0205143
1.3996835,1.5351313,-0.3316868,-2.1208218,-1.0301737,3.2646435,0.0000000
1.4996609,1.6161177,-0.3874048,-2.2275959,-1.1259257,3.2646435,0.0000000
1.5996383,1.6899939,-0.4511704,-2.3380005,-1.1172087,3.2646435,0.0929041
1.6996157,1.7578124,-0.5240535,-2.4445201,-1.0079627,3.2674874,1.2385122
1.7995931,1.8136331,-0.5970878,-2.5319084,-0.9020557,3.3051657,2.1458353
1.8995705,1.8634721,-0.6749510,-2.6111611,-0.8132118,3.3694496,2.7674512
1.9995479,1.9093573,-0.7604893,-2.6859226,-0.7283617,3.4505877,3.3277210
2.0995253,1.9509973,-0.8537699,-2.7562108,-0.6492365,3.5456945,3.8378315
2.1995027,1.9881008,-0.9548600,-2.8221378,-0.5767987,3.6523064,4.3058855
2.2994801,2.0184391,-1.0565294,-2.8798703,-0.5055284,3.7683318,4.8213320
