s_m,t_s,v_mps,beta_rad,omega_z_radps,n_m,xi_rad
0.0,0.000,3.40,0.05429,1.57062,0.18633,-0.10974
0.7,0.185,3.68,0.04525,1.57066,0.15036,-0.08847
1.4,0.360,3.95,0.03755,1.57044,0.13060,-0.05115
2.1,0.529,4.00,0.03202,1.47930,0.12606,-0.03171
2.8,0.697,4.00,0.02589,1.12593,0.11551,-0.05154
3.5,0.868,4.00,0.01859,0.75305,0.08208,-0.07416
4.2,1.042,4.00,0.01153,0.44705,0.03743,-0.06839
4.9,1.217,4.00,0.00607,0.22801,0.00135,-0.04287
5.6,1.392,4.00,0.00298,0.11120,-0.01777,-0.01870
6.3,1.567,4.00,0.00248,0.09993,-0.02587,-0.01467
7.0,1.743,4.00,0.00462,0.19555,-0.03960,-0.04110
7.7,1.920,4.00,0.00928,0.39325,-0.07831,-0.09346
8.4,2.100,4.00,0.01606,0.68139,-0.15319,-0.14852
9.1,2.287,4.00,0.02376,1.02463,-0.25522,-0.17002
9.8,2.479,4.00,0.03061,1.38187,-0.34851,-0.12905
10.5,2.676,4.00,0.03286,1.57057,-0.39269,-0.04950
11.2,2.882,3.80,0.03589,1.57073,-0.37587,0.01501
11.9,3.144,2.48,0.06832,1.57067,-0.25361,0.23511
12.6,3.437,2.95,0.07776,1.57073,0.01319,0.27529
13.3,3.656,3.17,0.06003,1.57075,0.20293,0.14418
14.0,3.832,3.45,0.05274,1.57072,0.25537,-0.08237
14.7,4.001,3.71,0.04443,1.57059,0.16988,-0.27122
15.4,4.183,4.00,0.03050,1.24701,-0.02508,-0.31941
16.1,4.366,4.00,0.00990,0.33346,-0.23448,-0.25167
16.8,4.531,4.00,-0.01116,-0.52084,-0.36937,-0.11657
17.5,4.675,4.00,-0.02421,-1.04858,-0.40039,0.06639
18.2,4.821,4.00,-0.02627,-1.14358,-0.32431,0.23265
18.9,4.988,4.00,-0.01705,-0.67760,-0.14580,0.31282
19.6,5.171,4.00,0.00094,0.10974,0.08202,0.28760
20.3,5.341,4.00,0.01785,0.77986,0.25428,0.16203
21.0,5.491,4.00,0.02643,1.15315,0.31159,-0.03248
21.7,5.643,4.00,0.02471,1.06157,0.25000,-0.19734
22.4,5.815,4.00,0.01069,0.38042,0.09300,-0.25056
23.1,5.995,4.00,-0.01051,-0.49995,-0.08712,-0.20914
23.8,6.162,4.00,-0.02706,-1.18762,-0.21529,-0.10412
24.5,6.316,4.00,-0.03224,-1.50521,-0.25690,0.03385
25.2,6.473,4.00,-0.02775,-1.23489,-0.21558,0.13018
25.9,6.644,4.00,-0.00747,-0.21387,-0.11405,0.15401
26.6,6.823,4.00,0.02223,0.99949,0.01453,0.14195
27.3,7.004,3.54,0.04072,1.57075,0.11825,0.06741
28.0,7.222,2.28,0.09301,1.57076,0.18759,0.05023
28.7,7.473,2.45,0.09593,1.57073,0.24370,-0.04740
29.4,7.704,2.75,0.07836,1.57074,0.24359,-0.10017
30.1,7.917,3.09,0.06546,1.57073,0.22032,-0.10826
30.8,8.114,3.40,0.05429,1.57062,0.18633,-0.10974
