# s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
0.0000000,0.1223797,-0.4166996,1.7675472,-0.3107357,4.0000000,0.0000000
0.0997013,0.0156905,-0.4362524,1.7379960,-0.2313293,4.0000000,0.0000000
0.1994027,-0.0883231,-0.4526747,1.7184353,-0.1372051,4.0000000,0.0000000
0.2991040,-0.1895491,-0.4671888,1.7098547,-0.0273151,4.0000000,0.0000000
0.3988054,-0.2878755,-0.4810171,1.7132857,0.1001629,4.0000000,-4.1920111
0.4985067,-0.3831901,-0.4953817,1.7298344,0.2473807,3.8941112,-6.2102185
0.5982081,-0.4753811,-0.5115050,1.7606634,0.4157603,3.7317245,-4.2949567
0.6979094,-0.5667729,-0.5311964,1.8082336,0.5895510,3.6151544,-3.3031975
0.7976108,-0.6664098,-0.5587502,1.8748744,0.7007518,3.5228788,-2.2888128
0.8973121,-0.7613529,-0.5924705,1.9511317,0.8123607,3.4574961,-1.3134766
0.9970135,-0.8514783,-0.6329573,2.0365608,0.9139742,3.4194106,-0.4931519
1.0967148,-0.9366624,-0.6808103,2.1299696,0.9924802,3.4050012,0.0000000
1.1964162,-1.0167812,-0.7366294,2.2293375,1.0350152,3.4050012,0.0000000
1.2961175,-1.0904790,-0.7998362,2.3297085,1.0040997,3.4050012,0.3584347
1.3958189,-1.1565689,-0.8685874,2.4205289,0.9023191,3.4154803,1.4739917
1.4955202,-1.2176962,-0.9443927,2.5039951,0.8141482,3.4582400,2.2632564
1.5952216,-1.2736807,-1.0265040,2.5811465,0.7408365,3.5228856,2.8056828
1.6949229,-1.3243419,-1.1141730,2.6530734,0.6821115,3.6014141,3.1528880
1.7946242,-1.3694994,-1.2066517,2.7208478,0.6370197,3.6876657,3.3372471
1.8943256,-1.4085502,-1.3020564,2.7847322,0.6006004,3.7768154,3.4328351
1.9940269,-1.4398002,-1.3936909,2.8402654,0.5468419,3.8663744,3.8253419
2.0937283,-1.4664169,-1.4878775,2.8912556,0.4955932,3.9637904,1.4461472
2.1934296,-1.4886555,-1.5843259,2.9379110,0.4477629,4.0000000,0.0000000
2.2931310,-1.5067711,-1.6827455,2.9804860,0.4037921,4.0000000,0.0000000
2.3928323,-1.5210188,-1.7828462,3.0192567,0.3637858,4.0000000,0.0000000
2.4925337,-1.5316537,-1.8843375,3.0545023,0.3276246,4.0000000,0.0000000
2.5922350,-1.5388105,-1.9847410,3.0857797,0.2924020,4.0000000,0.0000000
2.6919364,-1.5429414,-2.0828937,3.1126770,0.2554505,4.0000000,0.0000000
2.7916377,-1.5446101,-2.1817536,3.1361681,0.2200040,4.0000000,0.0000000
2.8913391,-1.5441179,-2.2812283,-3.1268335,0.1860694,4.0000000,0.0000000
2.9910404,-1.5417658,-2.3812254,-3.1098605,0.1535564,4.0000000,0.0000000
3.0907418,-1.5378553,-2.4816528,-3.0960087,0.1223046,4.0000000,0.0000000
3.1904431,-1.5326873,-2.5824182,-3.0852007,0.0921048,4.0000000,0.0000000
3.2901445,-1.5265964,-2.6829080,-3.0773657,0.0653530,4.0000000,0.0000000
3.3898458,-1.5199011,-2.7824785,-3.0718860,0.0445292,4.0000000,0.0000000
3.4895472,-1.5127551,-2.8821292,-3.0684657,0.0239744,4.0000000,0.0000000
3.5892485,-1.5053686,-2.9817864,-3.0670917,0.0035289,4.0000000,0.0000000
3.6889498,-1.4979517,-3.0813767,-3.0677616,-0.0169703,4.0000000,0.0000000
3.7886512,-1.4907148,-3.1808263,-3.0704838,-0.0376881,4.0000000,0.0000000
3.8883525,-1.4838679,-3.2800618,-3.0752778,-0.0587902,4.0000000,0.0000000
3.9880539,-1.4776070,-3.3792514,-3.0821807,-0.0784334,4.0000000,0.0000000
4.0877552,-1.4720339,-3.4798069,-3.0903670,-0.0841486,4.0000000,0.0000000
4.1874566,-1.4673297,-3.5800172,-3.0990968,-0.0898984,4.0000000,0.0000000
4.2871579,-1.4635416,-3.6799010,-3.1083708,-0.0956676,4.0000000,0.0000000
4.3868593,-1.4607167,-3.7794769,-3.1181882,-0.1014396,4.0000000,0.0000000
4.4865606,-1.4589023,-3.8787639,-3.1285475,-0.1071963,4.0000000,0.0000000
4.5862620,-1.4581455,-3.9777806,-3.1394456,-0.1129176,4.0000000,0.0000000
4.6859633,-1.4584941,-4.0766275,3.1322992,-0.1179730,4.0000000,0.0000000
4.7856647,-1.4600036,-4.1765094,3.1207404,-0.1133950,4.0000000,0.0000000
4.8853660,-1.4626388,-4.2762044,3.1096726,-0.1085097,4.0000000,0.0000000
4.9850674,-1.4663482,-4.3757629,3.0991169,-0.1033483,4.0000000,0.0000000
