s_m,t_s,v_mps,beta_rad,omega_z_radps,n_m,xi_rad
0.0,0.000,4.00,0.00943,0.41384,0.25501,0.26276
0.7,0.151,4.00,0.01749,0.74273,0.36890,0.04106
1.4,0.285,4.00,0.02345,1.00579,0.31288,-0.31338
2.1,0.462,4.00,0.02770,1.21969,0.11880,-0.11486
2.8,0.638,4.00,0.03000,1.35709,0.20339,0.12831
3.5,0.788,4.00,0.03099,1.43121,0.22459,-0.09657
4.2,0.950,4.00,0.03054,1.40658,0.14901,-0.17016
4.9,1.121,4.00,0.02865,1.28272,0.06260,-0.12450
5.6,1.296,4.00,0.02748,1.21092,0.02712,-0.02883
6.3,1.470,4.00,0.02767,1.22004,0.05750,0.05216
7.0,1.641,4.00,0.02922,1.30902,0.12504,0.07307
7.7,1.806,4.00,0.03117,1.43867,0.18730,0.04781
8.4,1.968,4.00,0.03168,1.48868,0.22834,0.01857
9.1,2.128,4.00,0.03133,1.46541,0.25457,0.00372
9.8,2.287,4.00,0.03138,1.46556,0.27392,-0.00743
10.5,2.444,4.00,0.03163,1.48455,0.28399,-0.02455
11.2,2.602,4.00,0.03210,1.52528,0.28669,-0.02649
11.9,2.760,4.00,0.03250,1.56893,0.29429,-0.01623
12.6,2.916,4.00,0.03242,1.56975,0.30291,-0.02578
13.3,3.071,4.00,0.03131,1.47527,0.29648,-0.05737
14.0,3.230,4.00,0.02709,1.19350,0.26570,-0.08491
14.7,3.396,4.00,0.02056,0.84771,0.22139,-0.07786
15.4,3.568,4.00,0.01381,0.54483,0.18778,-0.04169
16.1,3.742,4.00,0.00819,0.31377,0.17803,-0.00089
16.8,3.916,4.00,0.00466,0.17766,0.19256,0.03279
17.5,4.091,4.00,0.00361,0.14380,0.22710,0.05687
18.2,4.266,4.00,0.00514,0.21418,0.27631,0.07086
18.9,4.436,4.00,0.00908,0.38238,0.33187,0.06637
19.6,4.600,4.00,0.01492,0.62996,0.37420,0.02004
20.3,4.754,4.00,0.02170,0.92689,0.37582,-0.06573
21.0,4.907,4.00,0.02809,1.24013,0.32917,-0.13805
21.7,5.065,4.00,0.03214,1.50167,0.25445,-0.15542
22.4,5.228,4.00,0.03257,1.57062,0.17806,-0.14383
23.1,5.402,3.68,0.03680,1.57073,0.11179,-0.12564
23.8,5.620,2.50,0.07757,1.57066,0.10534,0.02929
24.5,5.864,2.89,0.07655,1.57074,0.19703,0.08006
25.2,6.086,2.57,0.08111,1.57074,0.28400,0.02649
25.9,6.289,2.89,0.07441,1.57073,0.29720,-0.14512
26.6,6.483,3.20,0.06102,1.57074,0.19206,-0.32471
27.3,6.690,3.52,0.05026,1.57069,-0.02022,-0.36582
28.0,6.894,3.84,0.03851,1.46212,-0.22642,-0.24726
28.7,7.075,4.00,0.01926,0.73195,-0.33514,-0.08668
29.4,7.239,4.00,-0.00185,-0.15009,-0.34935,0.05364
30.1,7.399,4.00,-0.01874,-0.81563,-0.29537,0.14886
30.8,7.563,4.00,-0.02833,-1.25120,-0.20719,0.16653
31.5,7.732,4.00,-0.03223,-1.50771,-0.13980,0.08221
32.2,7.903,4.00,-0.03255,-1.57036,-0.15499,-0.06533
32.9,8.072,4.00,-0.03245,-1.57054,-0.26207,-0.17048
33.6,8.226,4.00,-0.03246,-1.57058,-0.38333,-0.12803
34.3,8.359,4.00,-0.03245,-1.57050,-0.42190,0.07300
35.0,8.490,4.00,-0.03209,-1.53921,-0.32682,0.36060
35.7,8.668,4.00,-0.02855,-1.28535,-0.11880,0.11570
36.4,8.844,4.00,-0.02104,-0.86769,-0.18408,-0.09033
37.1,9.003,4.00,-0.01136,-0.43046,-0.15148,0.18505
37.8,9.181,4.00,-0.00051,0.01852,0.03456,0.30877
38.5,9.360,4.00,0.00943,0.41384,0.25501,0.26276
