# s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
0.0000000,1.2908800,-4.3119209,-2.9431883,0.1116372,4.0000000,0.0000000
0.0998604,1.3128974,-4.4182549,-2.9319189,0.0967168,4.0000000,0.0000000
0.1997208,1.3358356,-4.5234605,-2.9221148,0.0859561,4.0000000,0.0000000
0.2995811,1.3592477,-4.6262886,-2.9134719,0.0783971,4.0000000,0.0000000
0.3994415,1.3826868,-4.7254899,-2.9057494,0.0735116,4.0000000,-6.5443577
0.4993019,1.4057063,-4.8198153,-2.8987468,0.0711352,3.8331392,-10.9526417
0.5991623,1.4278591,-4.9080158,-2.8922835,0.0715249,3.5363097,-10.7421683
0.6990226,1.4506755,-4.9963882,-2.8850678,0.1214117,3.2187035,-8.0019233
0.7988830,1.4798846,-5.1025686,-2.8550753,0.4563024,2.9600510,-5.1996448
0.8987434,1.5103511,-5.1958575,-2.7897715,0.8804844,2.7791051,-3.9445965
0.9986038,1.5462931,-5.2813353,-2.6929176,1.1614561,2.6335541,-3.5787078
1.0984641,1.5919289,-5.3640821,-2.5832794,1.1001622,2.4941662,-4.7879862
1.1983245,1.6505085,-5.4476462,-2.4777975,1.0517319,2.2944727,-6.4623917
1.2981849,1.7213847,-5.5277245,-2.3503299,1.3926988,1.9934722,-5.5822895
1.3980453,1.8013378,-5.5944187,-2.1670883,2.2447143,1.6908673,-3.2896892
1.4979056,1.8868864,-5.6373944,-1.8781254,3.9556128,1.4839181,0.0000000
1.5977660,1.9738114,-5.6464147,-1.4446556,5.4495592,1.4839181,0.0000000
1.6976264,2.0525125,-5.6199149,-1.0770122,3.3747994,1.4839181,4.5686480
1.7974868,2.1282165,-5.5653175,-0.8373507,1.9299331,1.7647852,5.9892875
1.8973471,2.1989695,-5.4897127,-0.6793101,1.2183092,2.0762109,6.7482934
1.9972075,2.2628174,-5.4001902,-0.5655999,0.8962785,2.3787446,6.9284743
2.0970679,2.3175621,-5.3043162,-0.4739335,0.7968261,2.6537118,6.3886024
2.1969283,2.3583918,-5.2163991,-0.3953857,0.8107308,2.8841156,5.2562417
