s_m,t_s,v_mps,beta_rad,omega_z_radps,n_m,xi_rad
0.0,0.000,4.00,-0.03249,-1.57073,-0.39547,0.04905
0.7,0.152,4.00,-0.03530,-1.57079,-0.38854,0.04377
1.4,0.304,4.00,-0.03248,-1.57078,-0.38065,0.05169
2.1,0.455,4.00,-0.03530,-1.57079,-0.36336,0.07475
2.8,0.607,4.00,-0.03248,-1.57074,-0.33148,0.09452
3.5,0.765,4.00,-0.01840,-0.72286,-0.25450,0.19158
4.2,0.935,4.00,-0.01738,-0.72270,-0.10468,0.27815
4.9,1.115,4.00,-0.02309,-0.99148,0.07723,0.26242
5.6,1.297,4.00,-0.03220,-1.47745,0.19855,0.12950
6.3,1.489,3.68,-0.03775,-1.57072,0.21553,0.00279
7.0,1.744,2.35,-0.07827,-1.57063,0.10307,-0.22637
7.7,2.034,2.67,-0.08896,-1.57075,-0.13206,-0.23006
8.4,2.269,2.52,-0.08448,-1.57075,-0.28720,-0.09374
9.1,2.469,2.84,-0.07632,-1.57074,-0.32392,0.11833
9.8,2.660,3.14,-0.06293,-1.57072,-0.23847,0.29009
10.5,2.864,3.47,-0.04618,-1.36108,-0.05822,0.30972
11.2,3.064,3.81,-0.00950,-0.21702,0.14505,0.25323
11.9,3.236,4.00,0.02371,1.01712,0.31119,0.17371
12.6,3.390,3.33,0.04091,1.57074,0.39258,0.02334
13.3,3.567,2.35,0.08503,1.57075,0.39241,-0.16405
14.0,3.792,2.25,0.10554,1.57074,0.31206,-0.33602
14.7,4.067,2.15,0.10844,1.57075,0.15106,-0.39181
15.4,4.363,2.61,0.08644,1.57075,-0.04236,-0.32420
16.1,4.625,3.03,0.06694,1.57074,-0.17684,-0.16566
16.8,4.852,3.39,0.05450,1.57070,-0.18415,0.03269
17.5,5.058,3.71,0.04444,1.57052,-0.06042,0.20690
18.2,5.245,4.00,0.03256,1.36213,0.14523,0.28566
18.9,5.413,4.00,0.01965,0.80160,0.33297,0.22509
19.6,5.571,4.00,0.00329,0.07011,0.42629,0.06525
20.3,5.734,4.00,-0.01386,-0.61617,0.39766,-0.11175
21.0,5.918,4.00,-0.02897,-1.28264,0.23308,-0.26454
21.7,6.110,3.98,-0.03336,-1.57068,-0.02094,-0.31764
22.4,6.302,3.09,-0.04677,-1.57073,-0.24675,-0.26432
23.1,6.476,3.36,-0.05699,-1.57074,-0.37077,-0.04835
23.8,6.658,2.35,-0.08536,-1.57074,-0.38822,0.10056
24.5,6.882,2.58,-0.09003,-1.57072,-0.36475,0.14454
25.2,7.098,2.90,-0.07181,-1.57074,-0.32604,0.12900
25.9,7.299,3.22,-0.06048,-1.57072,-0.29648,0.09094
26.6,7.485,3.51,-0.05055,-1.57069,-0.28392,0.05636
27.3,7.658,3.78,-0.04249,-1.57061,-0.28252,0.04215
28.0,7.819,4.00,-0.03587,-1.56966,-0.27715,0.05501
28.7,7.977,4.00,-0.03022,-1.40069,-0.25223,0.08246
29.4,8.141,4.00,-0.02395,-1.01728,-0.20417,0.10291
30.1,8.311,4.00,-0.01696,-0.68093,-0.14589,0.09239
30.8,8.485,4.00,-0.01071,-0.41587,-0.09861,0.06072
31.5,8.659,4.00,-0.00662,-0.25524,-0.07268,0.02538
32.2,8.834,4.00,-0.00517,-0.20577,-0.07086,-0.00999
32.9,9.009,4.00,-0.00650,-0.26894,-0.09616,-0.04860
33.6,9.184,4.00,-0.01038,-0.43593,-0.15274,-0.08972
34.3,9.356,4.00,-0.01621,-0.68491,-0.23721,-0.11423
35.0,9.521,4.00,-0.02275,-0.97508,-0.32533,-0.09579
35.7,9.676,4.00,-0.02842,-1.25896,-0.38766,-0.04369
36.4,9.824,4.00,-0.03136,-1.44954,-0.41623,0.00937
37.1,9.972,4.00,-0.03234,-1.54388,-0.41880,0.04306
37.8,10.122,4.00,-0.03249,-1.57045,-0.40801,0.05474
38.5,10.273,4.00,-0.03249,-1.57073,-0.39547,0.04905
